r_m,r_over_R,chord_m,twist_deg,phi_deg,alpha_deg,reynolds,cl,cd,a,a_prime,dthrust_n,dtorque_nm,local_solidity
12.4375,0.3109375,1.1451784725740584,8.420220436542806,17.708084164311057,9.28786372776825,1679252.9400373353,1.1721959819719094,0.01021532867840955,0.26769511963167325,0.037243264283158974,967.8442667591551,3728.270093393447,0.043962407549568934
13.3125,0.3328125,1.7457511231445328,7.379894461258692,16.687429588138777,9.307535126880085,2712682.598604665,1.1843654243514692,0.009290945693208215,0.2673790356929394,0.032592789212321914,1682.5014089501997,6523.4082509288755,0.0626129398662942
14.1875,0.3546875,1.9919692464638654,6.458976343287871,15.800875661466073,9.341899318178202,3271688.155320414,1.1915245335731157,0.008993059477956018,0.2656952059572401,0.028731198280795664,2167.1188730863455,8450.642755213632,0.06703755109676028
15.0625,0.3765625,2.092554168795309,5.63843211263256,15.011810457131347,9.373378344498786,3623293.5933663747,1.1962015263959251,0.008900269331921087,0.26359874085768126,0.0254027898277437,2549.4149942148106,9992.229533093987,0.06633168590565824
15.9375,0.3984375,2.1166422511377885,4.902991023663383,14.302158416927712,9.399167393264328,3854974.3669823376,1.1997096909096627,0.008844446715954704,0.2612669114855988,0.022629296055756122,2870.3455798071764,11303.885783403017,0.0634115909695503
16.8125,0.4203125,2.097808799523071,4.240277303489439,13.658812076282176,9.418534772792738,4009920.4990987633,1.2022303100495049,0.008809406121193644,0.25887736581452075,0.02026038807346637,3148.6694607100094,12454.266124098609,0.05957650083671762
17.6875,0.4421875,2.054744132343529,3.6401668869234913,13.072093510520881,9.43192662359739,4113787.0062796636,1.203948429411568,0.008786424685192678,0.25650036099888834,0.018226036517678467,3396.149779604706,13486.508267003604,0.05546674523559692
18.5625,0.4640625,1.9984937395158509,3.094305383450478,12.53286324535254,9.438557861902062,4182850.486590879,1.2048834125333812,0.008768939965596006,0.25426352003223823,0.016454355026493665,3620.2249166615766,14426.006986810733,0.05140527796075221
19.4375,0.4859375,1.9358824494627298,2.595742881628327,12.037346374525887,9.44160349289756,4228509.268329467,1.205380562715637,0.008756068872643213,0.25205515306353143,0.01493514057681756,3827.863774314098,15301.591331337422,0.047553223574560474
20.3125,0.5078125,1.871453869333645,2.138654361842138,11.577920666035581,9.439266304193444,4259099.42490129,1.2053219231440666,0.008743105142719847,0.25004506153953976,0.013612605948991769,4023.434127007865,16126.336656427804,0.04399032133999808
