airfoil,blades,tip_speed_ratio,aoa_deg,hub_radius_ratio,chord_scale,twist_scale,cp,ct,power_w,thrust_n,torque_nm,root_moment_nm,solidity_mean,obj_neg_cp,obj_root_moment,obj_solidity,obj_blade_pref_penalty,obj_solidity_with_blade_pref
4412,6,7.596887302782974,3.6751372139929,0.14002817703153886,1.012846875744823,1.0548082502124827,0.5229641814600782,0.8335742115686111,1173749.502404663,207876.42415891183,686684.4599920299,4432159.8995754365,0.10605463394155318,-0.5229641814600782,4432159.8995754365,0.10605463394155318,0.36,0.46605463394155316
4412,6,7.596887302782974,4.216492916846151,0.14002817703153886,1.0402084570539802,1.0548082502124827,0.522757325163261,0.8489243265354535,1173285.230693395,211704.43007062393,686412.8448231302,4519279.973356298,0.10214596438054686,-0.522757325163261,4519279.973356298,0.10214596438054686,0.36,0.46214596438054684
4412,6,8.036319229120151,3.711972649185884,0.14324615014483805,1.005003508822652,1.053958741756462,0.52271112136707,0.8351945615314744,1173181.5301251514,208280.50642476339,648821.9277048837,4425410.550635591,0.09280693908749911,-0.52271112136707,4425410.550635591,0.09280693908749911,0.36,0.4528069390874991
6409,6,7.540441060057788,3.71996611766859,0.14394446595201088,1.003301460076324,1.0537743942923037,0.5205047969801477,0.8536436493573364,1168229.6189941384,212881.33302545318,688571.3446494545,4483590.136431788,0.086794497214388,-0.5205047969801477,4483590.136431788,0.086794497214388,0.36,0.446794497214388
4412,6,7.131285297138864,3.767358205171555,0.15269501131423058,0.9480003637487268,1.0397407851872569,0.5190299067231462,0.8019648770196071,1164919.3507833716,199993.70016757725,726014.8936815377,4160072.0925359325,0.10204461445374646,-0.5190299067231462,4160072.0925359325,0.10204461445374646,0.36,0.46204461445374645
4415,5,7.569352325758901,5.401726903003312,0.1419385774450763,0.9735855241182173,1.0348210466295606,0.5172718893374932,0.8202788927467393,1160973.6273384735,204560.8425389592,681680.884454492,4324583.9810345005,0.08200399749769206,-0.5172718893374932,4324583.9810345005,0.08200399749769206,0.16,0.24200399749769208
6409,5,7.825891447796162,4.065668013347237,0.15079308957030138,0.9917946104588165,1.0637411278397755,0.5150201636702779,0.8435779829450498,1155919.8168192392,210371.16091177284,656464.6906177378,4368588.527706259,0.07368026720941984,-0.5150201636702779,4368588.527706259,0.07368026720941984,0.16,0.23368026720941984
4415,5,7.520955277339418,3.5759457948407154,0.14034473988561252,0.9645486161916006,1.0482257675210336,0.5147252635007536,0.8057114855685291,1155257.937976463,200928.0280019371,682689.8359321433,4257096.373280681,0.1008670830865004,-0.5147252635007536,4257096.373280681,0.1008670830865004,0.16,0.2608670830865004
4415,5,7.127827419840871,4.006927837972838,0.14202541685720885,0.9736000654676377,1.0500985989757867,0.5146721542009688,0.8032502288384707,1155138.7385811592,200314.2407219554,720268.5540560144,4227572.9584938735,0.10537974560940165,-0.5146721542009688,4227572.9584938735,0.10537974560940165,0.16,0.26537974560940164
4412,5,7.096576701743524,3.806152786977746,0.15468306457275627,0.9439762587882536,1.0278642963754128,0.5134531443585069,0.792435163540187,1152402.772626433,197617.1837952281,721726.8713947072,4075448.8641419294,0.09872143465128466,-0.5134531443585069,4075448.8641419294,0.09872143465128466,0.16,0.25872143465128467
