x_norm,y_norm,x_in,y_in,z_in
1.0,0.00126,2.06434139252213,0.002601070154577884,0.0
0.993871,0.002252,2.051689044127362,0.0046488968159598375,0.0
0.983114,0.003978,2.0294829237680014,0.008211950059453034,0.0
0.97047,0.005981,2.0033813912009517,0.01234682586867486,0.0
0.956237,0.008205,1.9739996201611842,0.01693792112564408,0.0
0.940913,0.010564,1.942365652662175,0.021807702470603783,0.0
0.924952,0.012982,1.9094166996961293,0.026799279957722293,0.0
0.908659,0.015411,1.8757823853877662,0.031813565200158544,0.0
0.892199,0.017825,1.8418033260668518,0.03679688532170697,0.0
0.875655,0.020212,1.8076508620689657,0.04172446822565729,0.0
0.859068,0.022567,1.7734096313912013,0.04658599220504691,0.0
0.842456,0.024887,1.7391167921786237,0.05137526423569825,0.0
0.825829,0.027172,1.7047929878451582,0.056092284317611325,0.0
0.809191,0.029421,1.670446475756375,0.06073498810939359,0.0
0.792546,0.031634,1.636085513277844,0.06530337561104507,0.0
0.775895,0.033812,1.6017121647509582,0.06979951116395827,0.0
0.759241,0.035952,1.5673326231998947,0.07421720174395562,0.0
0.742583,0.038056,1.5329448242832608,0.07856057603382219,0.0
0.725923,0.040123,1.4985528966838422,0.08282756969216543,0.0
0.709264,0.042152,1.464163033425816,0.08701611837759284,0.0
0.692605,0.044143,1.42977317016779,0.09112622209010439,0.0
0.675948,0.046095,1.3953874355925489,0.09515581648830758,0.0
0.659295,0.048005,1.3610099583828776,0.09909870854802486,0.0
0.642647,0.049875,1.3266428028801693,0.10295902695204125,0.0
0.626004,0.051701,1.2922859690844235,0.10672851433478664,0.0
0.609369,0.053483,1.257945650019818,0.11040717069626109,0.0
0.592742,0.055219,1.2236218456863523,0.1139908673536795,0.0
0.576126,0.056907,1.1893207491082047,0.11747547562425685,0.0
0.559521,0.058546,1.1550423602853748,0.12085893116660062,0.0
0.542929,0.060132,1.1207908079006477,0.12413297661514072,0.0
0.526352,0.061663,1.0865702206368084,0.1272934832870921,0.0
0.509791,0.063138,1.0523826628352493,0.13033838684106225,0.0
0.493248,0.064552,1.0182322631787557,0.13325736557008855,0.0
0.476726,0.065904,0.9841252146915049,0.13604835513277846,0.0
0.460225,0.06719,0.9500615173734973,0.1387030981635619,0.0
0.443749,0.068407,0.9160494285903027,0.14121540163826135,0.0
0.4273,0.06955,0.8820930770247062,0.14357494384991415,0.0
0.41088,0.070617,0.8481965913594929,0.14577759611573526,0.0
0.394492,0.071603,0.8143661646188401,0.1478130367287621,0.0
0.37814,0.072502,0.7806100541683182,0.14966887964063946,0.0
0.361826,0.073312,0.7469323886907122,0.1513409961685824,0.0
0.345556,0.074026,0.7133455542343772,0.1528149359228432,0.0
0.329333,0.074639,0.6798557438234907,0.15408037719645926,0.0
0.313162,0.075146,0.6464732791650153,0.155126998282468,0.0
0.297052,0.075539,0.6132167393314838,0.15593828444972918,0.0
0.281009,0.075813,0.5800985103712513,0.15650391399128027,0.0
0.265046,0.07596,0.5471454287224206,0.156807372175981,0.0
