airfoil,blades,tip_speed_ratio,aoa_deg,hub_radius_ratio,chord_scale,twist_scale,cp,ct,power_w,thrust_n,torque_nm,root_moment_nm,solidity_mean,obj_neg_cp,obj_root_moment,obj_solidity,obj_blade_pref_penalty,obj_solidity_with_blade_pref
4412,6,7.596887302782974,3.6751372139929,0.14002817703153886,1.012846875744823,1.0548082502124827,0.5229641814600782,0.8335742115686111,1173749.502404663,207876.42415891183,686684.4599920299,4432159.8995754365,0.10605463394155318,-0.5229641814600782,4432159.8995754365,0.10605463394155318,0.36,0.46605463394155316
4412,6,7.525689852964179,3.6751372139929,0.14,1.012846875744823,1.0548082502124827,0.5228633908408857,0.8326830096345821,1173523.286263447,207654.17655494524,693047.3022357477,4426281.640305392,0.10788213766508717,-0.5228633908408857,4426281.640305392,0.10788213766508717,0.36,0.46788213766508713
4412,6,7.596887302782974,4.216492916846151,0.14002817703153886,1.0402084570539802,1.0548082502124827,0.522757325163261,0.8489243265354535,1173285.230693395,211704.43007062393,686412.8448231302,4519279.973356298,0.10214596438054686,-0.522757325163261,4519279.973356298,0.10214596438054686,0.36,0.46214596438054684
4412,6,8.036319229120151,3.711972649185884,0.14324615014483805,1.005003508822652,1.053958741756462,0.52271112136707,0.8351945615314744,1173181.5301251514,208280.50642476339,648821.9277048837,4425410.550635591,0.09280693908749911,-0.52271112136707,4425410.550635591,0.09280693908749911,0.36,0.4528069390874991
4412,6,7.596887302782974,3.6751372139929,0.14002817703153886,0.9666055459405576,1.0548082502124827,0.5223684033636932,0.8142439491111586,1172412.328141173,203055.85055917574,685902.1663380956,4324425.203440802,0.10122930157225135,-0.5223684033636932,4324425.203440802,0.10122930157225135,0.36,0.46122930157225134
4412,6,7.574634730992797,3.635036120194818,0.1401339096916415,0.9440471392339804,1.053465090166765,0.5214164676313368,0.8040289618647867,1170275.787758895,200508.4408719101,686663.5696756758,4265853.080607311,0.09982546308567275,-0.5214164676313368,4265853.080607311,0.09982546308567275,0.36,0.45982546308567274
4412,6,7.8257034876096885,3.6751372139929,0.1520844722230575,0.992668425460149,1.0455854268883435,0.5211448657572267,0.8268789982189065,1169666.1999976477,206206.77436552563,664287.4283014579,4312913.405673252,0.09167901750998866,-0.5211448657572267,4312913.405673252,0.09167901750998866,0.36,0.4516790175099886
4412,6,7.8052649013446675,3.672159023486415,0.15264116698238545,0.9910059270350378,1.0448798760947653,0.5210277391144615,0.8259401332158199,1169403.3190135616,205972.64056327866,665877.2188000095,4303458.323312816,0.09169930973679621,-0.5210277391144615,4303458.323312816,0.09169930973679621,0.36,0.4516993097367962
4412,6,7.9954523742541,4.034069292026644,0.1519289862726467,1.0313876410289076,1.0560218522628928,0.5208985931794756,0.8453406323304854,1169113.4617302117,210810.7297542407,649876.9033561776,4422288.327964374,0.08781943324176816,-0.5208985931794756,4422288.327964374,0.08781943324176816,0.36,0.44781943324176815
4412,6,7.058706566531203,4.075125436748923,0.14855986383702138,1.0121745909792639,1.0476234890119307,0.5208385145184207,0.8290953595264113,1168978.6201846176,206759.48971690543,736035.7715942021,4338970.554101929,0.10953157714033435,-0.5208385145184207,4338970.554101929,0.10953157714033435,0.36,0.46953157714033433
4412,6,7.758720642360804,3.520030673601096,0.15269020132711897,0.9725173765306306,1.0360831680124054,0.5207114897205157,0.8187425781781361,1168693.523616593,204177.71698820172,669465.1963542656,4259434.110201085,0.09268507761466363,-0.5207114897205157,4259434.110201085,0.09268507761466363,0.36,0.4526850776146636
6409,6,7.540441060057788,3.71996611766859,0.14394446595201088,1.003301460076324,1.0537743942923037,0.5205047969801477,0.8536436493573364,1168229.6189941384,212881.33302545318,688571.3446494545,4483590.136431788,0.086794497214388,-0.5205047969801477,4483590.136431788,0.086794497214388,0.36,0.446794497214388
4412,6,7.7662490999285865,3.6473224796311645,0.15556443270570045,0.9914263690047709,1.0422626046452816,0.5204774314939806,0.8252952682236501,1168168.1994420728,205811.8243734576,668515.598377437,4278691.647517186,0.09131920095953974,-0.5204774314939806,4278691.647517186,0.09131920095953974,0.36,0.4513192009595397
4412,6,7.926167343112452,4.064097441456079,0.15512699574370198,1.0241425441463043,1.0554475193464503,0.5204748564979523,0.8409537987647121,1168162.4200781812,209716.74284536403,655024.3962028839,4375065.093245391,0.08667537949376208,-0.5204748564979523,4375065.093245391,0.08667537949376208,0.36,0.44667537949376207
4412,6,7.8664380793623,3.6751372139929,0.1520844722230575,0.992668425460149,1.0893109464207074,0.5204207317525705,0.8171121681124165,1168040.9415998994,203771.125937674,659929.3125305027,4276251.298906998,0.09081982201449726,-0.5204207317525705,4276251.298906998,0.09081982201449726,0.36,0.4508198220144972
4412,6,7.652684330402186,3.2744913053838096,0.1536490928164551,0.9406175236258397,0.9781762109462551,0.520396312122448,0.8173441583600092,1167986.1337761106,203828.97957858565,678330.5385832589,4222381.641434998,0.09430010524325845,-0.520396312122448,4222381.641434998,0.09430010524325845,0.36,0.4543001052432584
4412,6,7.211214152111249,4.034069292026644,0.1519289862726467,1.0313876410289076,1.044060304230178,0.5203666284480647,0.8382231169090495,1167919.5112438758,209035.76642863615,719816.8399681214,4367237.747126915,0.1058399635400919,-0.5203666284480647,4367237.747126915,0.1058399635400919,0.36,0.4658399635400919
4412,6,7.740498397141591,4.141990315381194,0.1537159712795597,0.9747877345012194,1.0647507109769319,0.5203193652199218,0.8165295506517635,1167813.4328689482,203625.83301390999,670535.8825187094,4252209.42372022,0.08606285402355002,-0.5203193652199218,4252209.42372022,0.08606285402355002,0.36,0.44606285402355
4412,6,7.717470302722335,4.304389203132328,0.15066040433988234,1.061219211523789,1.073252223549472,0.5202464806545958,0.8529816111332373,1167649.8495389281,212716.23418149631,672442.4822223245,4475597.4026694475,0.09409059932137362,-0.5202464806545958,4475597.4026694475,0.09409059932137362,0.36,0.45409059932137363
4412,6,7.97602484517767,3.7806945632854636,0.15662952603465616,1.0154945349739533,1.0098665355445997,0.5202246415102837,0.8450084044806674,1167600.8334003894,210727.87889769103,650616.9599600174,4371272.822684027,0.0871349614326785,-0.5202246415102837,4371272.822684027,0.0871349614326785,0.36,0.4471349614326785
4412,6,8.094083169284179,3.684429590844594,0.15627567716950477,0.9738823927398075,1.0376483461740102,0.5201950019687621,0.8219837459889257,1167534.309920683,204985.99820090624,641090.691669303,4259267.096567335,0.08249932875467605,-0.5201950019687621,4259267.096567335,0.08249932875467605,0.36,0.442499328754676
4412,6,7.917857528220087,3.9679756144091054,0.1583705021017533,0.9972611696263468,1.0446488852993152,0.5200923361485954,0.8300478067990306,1167303.8850472276,206997.01066043295,655229.934156547,4289608.27462718,0.08397335547671927,-0.5200923361485954,4289608.27462718,0.08397335547671927,0.36,0.44397335547671923
4412,6,7.753195344115339,3.796797131526566,0.15796455761600017,0.9863801317275849,1.0459865939132194,0.5200590365210819,0.8224296406440885,1167229.1468096774,205097.1952427298,669102.8494296023,4248615.783336656,0.08828259805730353,-0.5200590365210819,4248615.783336656,0.08828259805730353,0.36,0.4482825980573035
4412,6,7.368917318091826,3.7819016770794986,0.1547732668595381,0.9957211708672327,1.0597298750017698,0.5200239700381822,0.8194388661850954,1167150.4430125272,204351.35703015918,703948.0941850428,4252764.206330414,0.09965869892809792,-0.5200239700381822,4252764.206330414,0.09965869892809792,0.36,0.4596586989280979
4412,6,7.211214152111249,3.6651541773805594,0.1519289862726467,1.0313876410289076,1.044060304230178,0.5199732658646149,0.8352111084241305,1167036.6417224878,208284.63288264626,719272.7062817916,4349464.463323947,0.11063746443244965,-0.5199732658646149,4349464.463323947,0.11063746443244965,0.36,0.47063746443244964
4412,6,7.111342519720784,3.6784006015503405,0.1536490928164551,0.9406175236258397,0.9781762109462551,0.5197171482007615,0.813736773677432,1166461.8069801435,202929.37133978395,729014.9058792741,4195279.054605144,0.10232115928068918,-0.5197171482007615,4195279.054605144,0.10232115928068918,0.36,0.4623211592806892
4412,6,7.790957744674466,3.832693875282562,0.15945968249921486,0.979711323960652,1.0464236112321494,0.5196857571575475,0.8196067194054742,1166391.3524009224,204393.21620328576,665381.8100566437,4224149.4874484325,0.08582271547348895,-0.5196857571575475,4224149.4874484325,0.08582271547348895,0.36,0.44582271547348895
4412,6,7.885174255366496,3.9401366816722017,0.16108369544118117,0.9828869575054636,1.0398585441694088,0.5194926879916816,0.8234452389654339,1165958.0247555526,205350.46477109703,657187.2095348357,4233533.087972616,0.08241625098623878,-0.5194926879916816,4233533.087972616,0.08241625098623878,0.36,0.44241625098623877
4412,6,7.911918318249235,3.7947428049077594,0.15982350791862623,0.9804158794654416,1.0697033602172958,0.5192329471558415,0.8156652118182479,1165375.0581057712,203410.28451987152,654638.2930604413,4210444.024361451,0.08372353609357222,-0.5192329471558415,4210444.024361451,0.08372353609357222,0.36,0.4437235360935722
4412,6,8.202825137617047,3.82112207032484,0.15435818862957595,0.954446521877296,1.0678877403813813,0.5192229528527708,0.8089528658525897,1165352.6267258183,201736.36220114626,631409.9009521155,4213890.76152546,0.07847284696340687,-0.5192229528527708,4213890.76152546,0.07847284696340687,0.36,0.4384728469634068
4412,6,7.131285297138864,3.767358205171555,0.15269501131423058,0.9480003637487268,1.0397407851872569,0.5190299067231462,0.8019648770196071,1164919.3507833716,199993.70016757725,726014.8936815377,4160072.0925359325,0.10204461445374646,-0.5190299067231462,4160072.0925359325,0.10204461445374646,0.36,0.46204461445374645
4412,6,7.810621834276768,3.499749033560379,0.16068643736686122,0.9504109507175754,1.016705867653865,0.5190202427003371,0.8117794609243963,1164897.660689928,202441.25741973353,662856.6900626394,4162754.1892010034,0.08576525227674014,-0.5190202427003371,4162754.1892010034,0.08576525227674014,0.36,0.44576525227674013
4412,6,7.402812003853988,3.6751372139929,0.1605101186102346,0.992668425460149,1.0524570602215846,0.5189564357926345,0.8178828958764546,1164754.4514055813,203963.3297383251,699286.4938345632,4203750.284347421,0.09668616119592165,-0.5189564357926345,4203750.284347421,0.09668616119592165,0.36,0.45668616119592165
4412,6,7.676261315941444,3.980070946813777,0.16346110175171336,0.9792508570378178,1.0383731799159819,0.5189520582852502,0.8195657872022772,1164744.626455238,204383.00854580855,674370.3179430676,4193314.687342693,0.08470791044149442,-0.5189520582852502,4193314.687342693,0.08470791044149442,0.36,0.4447079104414944
4412,6,8.062203652882445,4.401317072699564,0.16134161376753028,1.0124845731677072,1.052601757433265,0.5189149808640784,0.8383638631015483,1164661.4092748007,209070.86566131943,642041.9469631698,4320285.799536881,0.07721242025316968,-0.5189149808640784,4320285.799536881,0.07721242025316968,0.36,0.43721242025316964
4412,6,7.0263912226079555,3.6484769938798136,0.1553703485286317,0.9688125787163435,1.0392694644216052,0.5187554262818495,0.8083370547491006,1164303.3023180782,201582.7914591846,736463.5955632484,4175242.866093298,0.10703499291249197,-0.5187554262818495,4175242.866093298,0.10703499291249197,0.36,0.46703499291249195
4415,6,7.993711345803642,3.8881801920267214,0.1539188326734369,1.0031833876053888,1.0593079657214945,0.518703900847059,0.8283498437287733,1164187.6577756973,206573.5732669767,647279.7357898351,4318944.366913117,0.08530464346901706,-0.518703900847059,4318944.366913117,0.08530464346901706,0.36,0.44530464346901705
4415,6,7.81215139092685,4.616488020111106,0.1565229008012255,0.978113043991963,1.0464081599279489,0.5186532138675196,0.8233144338825767,1164073.8950762204,205317.8446486067,662258.2560167845,4267759.366273921,0.07891442033834606,-0.5186532138675196,4267759.366273921,0.07891442033834606,0.36,0.43891442033834605
4412,6,7.644942355308187,3.885123551181821,0.16435467347034247,0.9506395242416636,0.9888090952541863,0.5186249707677225,0.8164525658845818,1164010.5057935342,203606.63458155168,676706.217693971,4153252.1782886586,0.08339350829190066,-0.5186249707677225,4153252.1782886586,0.08339350829190066,0.36,0.44339350829190066
4412,6,7.253387759729827,4.0427576735685555,0.16301008293158778,0.9732014265582949,1.0505177108684918,0.5181883201853364,0.8101729426826092,1163030.4799677322,202040.62450329488,712635.8781078979,4143825.1383009297,0.09284507201990902,-0.5181883201853364,4143825.1383009297,0.09284507201990902,0.36,0.452845072019909
4412,6,7.8257034876096885,2.5,0.14,0.992668425460149,1.0455854268883435,0.5181647947201845,0.8228398810287466,1162977.6790226677,205199.50083595084,660488.8228552043,4367707.744682373,0.11525032868818659,-0.5181647947201845,4367707.744682373,0.11525032868818659,0.36,0.47525032868818656
4412,6,7.220162631703931,4.119004277008166,0.16213283532276168,0.9694956288233386,1.0570799886625504,0.5180960618295837,0.8073798370190828,1162823.4137804166,201344.0808607807,715787.7633604831,4136488.600645819,0.09288392364304354,-0.5180960618295837,4136488.600645819,0.09288392364304354,0.36,0.45288392364304353
4412,6,8.179306067446076,3.82112207032484,0.1605965654634483,0.954446521877296,1.0678877403813813,0.5180555352574054,0.8069118082409803,1162732.4552681232,201227.36401968228,631801.7394848793,4161419.2957518846,0.07614932347223183,-0.5180555352574054,4161419.2957518846,0.07614932347223183,0.36,0.4361493234722318
