airfoil,blades,tip_speed_ratio,aoa_deg,hub_radius_ratio,chord_scale,twist_scale,cp,ct,power_w,thrust_n,torque_nm,root_moment_nm,solidity_mean,obj_neg_cp,obj_root_moment,obj_solidity,obj_blade_pref_penalty,obj_solidity_with_blade_pref
4415,5,7.555938445787352,4.89474621008935,0.17612967722740056,0.9352410802584392,1.0543048074575319,0.5109021184468026,0.7932991019588733,1146677.2076630266,197832.63243396665,674481.824029464,3980340.773363177,0.06945969974809216,-0.5109021184468026,3980340.773363177,0.06945969974809216,0.16,0.22945969974809216
4415,5,7.781268047495773,5.998562811863675,0.17624713448322982,0.9994208291715942,0.9912208972337796,0.5102535293027662,0.83943771876903,1145221.5034062795,209338.6633848104,654118.7525483606,4212796.727351992,0.06335092229816908,-0.5102535293027662,4212796.727351992,0.06335092229816908,0.16,0.22335092229816908
4415,5,7.854078673047316,6.0807895697083785,0.1747418968510598,0.9302420670950532,0.9912759451946827,0.508802747557716,0.8097261923072486,1141965.3447405058,201929.21406228945,646212.2094087469,4080511.362531351,0.058097377049712455,-0.508802747557716,4080511.362531351,0.058097377049712455,0.16,0.21809737704971247
4415,5,7.555938445787352,4.89474621008935,0.19173181963584865,0.9352410802584392,1.0543048074575319,0.507312988478457,0.7878350598305733,1138621.7046978911,196470.01165789054,669743.5329942105,3855282.6446524924,0.06432623499782185,-0.507312988478457,3855282.6446524924,0.06432623499782185,0.16,0.22432623499782184
4415,5,7.270786956821904,5.699284836150776,0.19408686661519584,0.8987370653471879,1.0327705218596575,0.5032556684303758,0.7715327564812309,1129515.3881348032,192404.54936457172,690443.6096838316,3751709.3669697894,0.06070433149802575,-0.5032556684303758,3751709.3669697894,0.06070433149802575,0.16,0.22070433149802576
4412,5,6.4106058956442595,3.400625595291138,0.2031100212472358,0.9279007869251769,1.0261362086287515,0.4995513678083527,0.7647496686051558,1121201.3942400054,190712.98545476608,777323.9205235154,3635337.015417106,0.09726302719905432,-0.4995513678083527,3635337.015417106,0.09726302719905432,0.16,0.2572630271990543
4412,5,6.310684248707192,3.7856839617819142,0.20587433001247213,0.9029785669523245,1.0090129462481137,0.49793312732190753,0.7567404848856738,1117569.3883912815,188715.65822351133,787073.9310930256,3571103.77388415,0.09169029949194947,-0.49793312732190753,3571103.77388415,0.09169029949194947,0.16,0.2516902994919495
4412,5,6.235941345850288,3.3668380766229977,0.2193722547338011,0.9219929924687212,1.0159273076842483,0.4944203100943187,0.757026924585388,1109685.1630100913,188787.0904483659,790888.4616281048,3499625.0102013233,0.09516615710681957,-0.4944203100943187,3499625.0102013233,0.09516615710681957,0.16,0.25516615710681956
2412,4,7.3009483451241834,4.706036632953777,0.1810568865236463,0.9243206850733466,1.0507210819986,0.48995091769672044,0.7565364216223515,1099653.9844156303,188664.76900345998,669413.1790579209,3737295.3116553873,0.08982830213904404,-0.48995091769672044,3737295.3116553873,0.08982830213904404,0.04,0.12982830213904403
4412,5,6.179129332872444,4.098811512539628,0.22119320243962035,0.8597977056570703,1.0223169426055672,0.48766045504075034,0.7242375344412012,1094513.2319548873,180610.08463541197,787247.3597945406,3327712.2037487193,0.08187976013875331,-0.48766045504075034,3327712.2037487193,0.08187976013875331,0.16,0.2418797601387533
