x_norm,y_norm,x_in,y_in,z_in
1.0,0.001575,1.6009426350235019,0.0025214846501620154,0.0
0.993293,0.003636,1.590205112770399,0.005821027420945452,0.0
0.982058,0.007044,1.5722185222659102,0.011277039921105547,0.0
0.969383,0.010823,1.5519265743669872,0.01732700213885936,0.0
0.955357,0.014926,1.5294717529681476,0.02389566977036079,0.0
0.940186,0.01927,1.505183852252206,0.03085016457690288,0.0
0.924134,0.023763,1.4794855210748088,0.038043199836063475,0.0
0.907457,0.028318,1.452786600750522,0.04533549353859553,0.0
0.890362,0.032871,1.4254184864047952,0.052624585355857526,0.0
0.872994,0.037376,1.3976133147197072,0.059836831926638405,0.0
0.85545,0.041806,1.3695263771308548,0.06692900779979252,0.0
0.83779,0.046142,1.3412537301963396,0.07387069506525443,0.0
0.820052,0.050374,1.3128562097362928,0.08064588429667388,0.0
0.80226,0.054496,1.2843722383739546,0.08724496983824076,0.0
0.784428,0.058504,1.2558242293062156,0.09366154791941496,0.0
0.766566,0.062395,1.2272281919594257,0.0998908157122914,0.0
0.748681,0.066167,1.1985953329320305,0.10592957133160005,0.0
0.730779,0.069817,1.1699352578798397,0.11177301194943584,0.0
0.712864,0.073344,1.1412543705733937,0.11741953662316373,0.0
0.69494,0.076746,1.1125590747832323,0.12286594346751367,0.0
0.677011,0.080022,1.083855774279896,0.12811063153985067,0.0
0.65908,0.083168,1.0551492718912896,0.13314719706963463,0.0
0.641151,0.086183,1.0264459713879532,0.13797403911423045,0.0
0.623229,0.089065,0.9977538774830621,0.1425879557883682,0.0
0.605315,0.09181,0.9690745911192511,0.1469825433215077,0.0
0.587416,0.094415,0.9404193188949654,0.15115299888574393,0.0
0.569535,0.096878,0.9117928636381102,0.15509612059580682,0.0
0.551676,0.099195,0.8832016291192255,0.15880550468115628,0.0
0.533846,0.101363,0.8546568219367564,0.1622763483138872,0.0
0.51605,0.103378,0.8261664468038782,0.16550224772345956,0.0
0.498297,0.105236,0.7977449122043059,0.16847679913933325,0.0
0.480597,0.106932,0.7694082275643899,0.1711919978483331,0.0
0.462963,0.108462,0.7411772051383855,0.17364144007991905,0.0
0.445416,0.10982,0.713085464721628,0.17581552017828098,0.0
0.427986,0.111003,0.6851810345931685,0.17770943531551378,0.0
0.410719,0.112004,0.6575375581142177,0.17931197889317232,0.0
0.393685,0.112814,0.6302671012692274,0.18060874242754132,0.0
0.376896,0.113375,0.6033888753698178,0.18150687124578954,0.0
0.360287,0.113676,0.5767988191447124,0.1819887549789316,0.0
0.343823,0.113718,0.5504408996016855,0.18205599456960259,0.0
0.327488,0.113499,0.5242895016585766,0.18170538813253245,0.0
0.311277,0.113017,0.4983366206022106,0.18093373378245112,0.0
0.295192,0.112269,0.4725854583178576,0.17973622869145353,0.0
0.279242,0.111253,0.44705042328923267,0.17810967097426966,0.0
0.263438,0.109964,0.4217491258853213,0.17604605591772438,0.0
0.247796,0.108403,0.39670718118828363,0.17354698446445269,0.0
0.232336,0.106566,0.3719566080508203,0.1706060528439145,0.0
0.217082,0.104455,0.3475358290961718,0.1672264629413799,0.0
0.202066,0.102072,0.3234960744886589,0.1634114166421189,0.0
0.187325,0.099421,0.2998965791057775,0.15916731771667159,0.0
0.172905,0.09651,0.27681098630873857,0.15450697370611816,0.0
0.158861,0.093355,0.25432734794246853,0.149455999692619,0.0
0.145261,0.089974,0.2325545281061489,0.14404321264360456,0.0
0.13218,0.086396,0.21161259749740646,0.13831503989549046,0.0
0.1197,0.082658,0.19163283341231319,0.13233071632577262,0.0
0.107901,0.078805,0.17274331126167086,0.12616228435302707,0.0
0.096855,0.074886,0.15505929891520126,0.11988819016636995,0.0
0.086616,0.070953,0.13866724727519564,0.11359168278282253,0.0
0.077212,0.067054,0.12361198273543463,0.1073496074488659,0.0
0.068641,0.063228,0.10989030341064818,0.10122440092726599,0.0
0.060877,0.059507,0.09746058479232572,0.09526729338234352,0.0
0.053873,0.05591,0.08624758257662112,0.08950870272416399,0.0
0.047569,0.052445,0.07615524020543296,0.08396143649380755,0.0
0.041901,0.049115,0.06708109735011976,0.0786302975191793,0.0
0.036804,0.045917,0.05892109273940497,0.07351048297237413,0.0
0.032217,0.042841,0.05157756887255217,0.06858598342704184,0.0
0.028085,0.039879,0.04496247390463505,0.06384399134210222,0.0
0.024357,0.037021,0.03899415976126744,0.05926849729120506,0.0
0.020994,0.034254,0.0336101896796834,0.05483868902009503,0.0
0.017957,0.031569,0.028748126897117025,0.05054015804505693,0.0
0.015218,0.028956,0.024363145019787653,0.04635689493974052,0.0
0.01275,0.026406,0.020412018596549647,0.04227449122043059,0.0
0.010534,0.023909,0.01686432971733757,0.03827693746077691,0.0
0.008553,0.021458,0.013692862357356011,0.034353027062334306,0.0
0.006794,0.019047,0.010876804262349672,0.030493154369292643,0.0
0.005248,0.016671,0.008401746948603338,0.026689314668476797,0.0
0.003909,0.014326,0.006258084760306869,0.02293510418934669,0.0
0.002771,0.01201,0.004436212041650124,0.019227321046632256,0.0
0.001832,0.009722,0.0029329269073630555,0.015564364297698485,0.0
0.00109,0.007465,0.001745027472175617,0.011951036770450441,0.0
0.000542,0.005243,0.0008677109081827379,0.008393742235428221,0.0
0.000187,0.003062,0.00029937627274939486,0.004902086348441963,0.0
1.7e-05,0.000932,2.721602479539953e-05,0.0014920785358419038,0.0
2.7e-05,-0.001152,4.322545114563455e-05,-0.0018442859155470741,0.0
0.000224,-0.003267,0.0003586111502452644,-0.005230279588621781,0.0
0.00063,-0.005403,0.0010085938600648062,-0.00864989305703198,0.0
0.001262,-0.007539,0.0020203896053996597,-0.01206950652544218,0.0
0.002134,-0.009657,0.003416411583140153,-0.015460303026421958,0.0
0.003249,-0.011736,0.0052014626211913575,-0.018788662764635818,0.0
0.004609,-0.01376,0.00737874460482332,-0.022028970657923384,0.0
0.006209,-0.015717,0.009940252820860923,-0.025162015394664377,0.0
0.008043,-0.017601,0.012876381613494026,-0.028178191319048654,0.0
0.010108,-0.01941,0.016182328154817557,-0.031074296545806172,0.0
0.012403,-0.021144,0.019856491502196497,-0.03385033107493692,0.0
0.014929,-0.022808,0.02390047259826586,-0.036514299619616025,0.0
0.017694,-0.024406,0.028327078984105844,-0.03907260595038359,0.0
0.020711,-0.025943,0.03315712291397175,-0.04153325478041471,0.0
0.023996,-0.027422,0.03841621947002395,-0.04390104893761446,0.0
0.027574,-0.02885,0.04414439221813804,-0.04618719502042803,0.0
0.031474,-0.030229,0.0503880684947297,-0.048394894914125436,0.0
0.035734,-0.031562,0.057208084119929815,-0.050528951446611764,0.0
0.040399,-0.03285,0.06467648151231445,-0.052590965560522035,0.0
0.045524,-0.034095,0.0728813125168099,-0.054584139141126295,0.0
0.051177,-0.035295,0.08193144123259775,-0.0565052703031545,0.0
0.057433,-0.036445,0.09194693835730477,-0.05834635433343152,0.0
0.064383,-0.037539,0.10307348967071811,-0.06009778557614724,0.0
0.072125,-0.038568,0.11546798755107006,-0.06174515554758642,0.0
0.080766,-0.039517,0.12930173286030816,-0.06326445010822372,0.0
0.090407,-0.040369,0.14473642080456975,-0.06462845323326374,0.0
0.101136,-0.041103,0.1619129343357369,-0.065803545127371,0.0
0.113008,-0.041695,0.1809193252987359,-0.06675130316730492,0.0
0.12603,-0.042125,0.20176680029201194,-0.06743970850036501,0.0
0.140156,-0.042376,0.22438171595435394,-0.06784154510175591,0.0
0.155289,-0.04244,0.2486087808501646,-0.06794400543039741,0.0
0.171303,-0.042318,0.274246276207431,-0.06774869042892455,0.0
0.188061,-0.04202,0.3010748728851548,-0.06727160952368755,0.0
0.205431,-0.041562,0.32888324645551303,-0.06653837779684679,0.0
0.223302,-0.040964,0.357493692286018,-0.06558101410110273,0.0
0.241583,-0.040248,0.38676052459688265,-0.0644347391744259,0.0
0.260198,-0.039437,0.4165620717478451,-0.06313637469742184,0.0
0.279087,-0.038551,0.446802277180804,-0.061717939522791025,0.0
0.298195,-0.037612,0.4773930890508331,-0.06021465438850395,0.0
0.317468,-0.036639,0.5082480564556411,-0.05865693720462608,0.0
0.336838,-0.035651,0.5392583152960464,-0.05707520588122287,0.0
0.356223,-0.034669,0.570292588275977,-0.055503080213629784,0.0
0.375571,-0.033707,0.6012676263784116,-0.05396297339873718,0.0
0.394866,-0.032778,0.6321578145211901,-0.05247569769080035,0.0
0.41412,-0.031865,0.6629823640159326,-0.05101403706502388,0.0
0.433371,-0.030903,0.6938021106827701,-0.049473930250131276,0.0
0.452655,-0.029896,0.7246746884565632,-0.04786178101666261,0.0
0.471988,-0.02885,0.7556257124194726,-0.04618719502042803,0.0
0.491376,-0.027773,0.7866647882273082,-0.04446297980250771,0.0
0.51082,-0.02667,0.8177935168227053,-0.04269714007607679,0.0
0.530315,-0.025549,0.8490038934924884,-0.04090248338221545,0.0
0.549855,-0.024414,0.8802863125808476,-0.03908541349146378,0.0
0.569427,-0.023271,0.9116199618335277,-0.03725553605963191,0.0
0.589012,-0.022127,0.9429744233404629,-0.035424057685165024,0.0
0.60859,-0.020987,0.974317678248953,-0.03359898308123823,0.0
0.62815,-0.019854,1.0056321161900126,-0.031785115075756605,0.0
0.647689,-0.018733,1.0369129343357368,-0.02999045838189526,0.0
0.667207,-0.017625,1.0681601326861256,-0.028216613942289217,0.0
0.686705,-0.016533,1.099375312183814,-0.026468384584843557,0.0
0.706185,-0.01546,1.1305616747140717,-0.024750573137463337,0.0
0.725651,-0.014406,1.1617256240474392,-0.02306317960014857,0.0
0.745105,-0.013372,1.1928703620691863,-0.02140780491553427,0.0
0.764548,-0.012359,1.2239974897219483,-0.01978605002625546,0.0
0.783979,-0.011368,1.25510540606309,-0.01819951587494717,0.0
0.803396,-0.010399,1.2861909092073414,-0.016648202461609397,0.0
0.822788,-0.009452,1.317236388785717,-0.01513210978624214,0.0
0.842137,-0.008527,1.348213027830787,-0.0136512378488454,0.0
0.861407,-0.007626,1.3790631924076897,-0.012208788534689225,0.0
0.88053,-0.006749,1.4096780184172442,-0.010804761843773613,0.0
0.899393,-0.005901,1.4398765993416924,-0.009447162489273684,0.0
0.917812,-0.005087,1.4693643617361902,-0.008143995184364554,0.0
0.935518,-0.004316,1.4977106520319163,-0.006909668412761434,0.0
0.952171,-0.0036,1.5243711497329628,-0.005763393486084607,0.0
0.967428,-0.00295,1.5487967315155162,-0.004722780773319331,0.0
