alpha,cl,cd
-8.0,-0.7047,0.00906
-7.75,-0.6784,0.00891
-7.5,-0.6523,0.0087
-7.25,-0.626,0.0085
-7.0,-0.5993,0.00835
-6.75,-0.5724,0.00822
-6.5,-0.5452,0.00813
-6.25,-0.5181,0.00801
-6.0,-0.491,0.00787
-5.75,-0.4636,0.00778
-5.5,-0.436,0.00773
-5.25,-0.4085,0.00764
-5.0,-0.381,0.00756
-4.75,-0.3531,0.00751
-4.5,-0.3254,0.00746
-4.25,-0.2976,0.00739
-4.0,-0.2695,0.00737
-3.75,-0.2417,0.0073
-3.5,-0.2136,0.00728
-3.25,-0.1856,0.00723
-3.0,-0.1574,0.00721
-2.75,-0.1294,0.00716
-2.5,-0.1011,0.00713
-2.25,-0.0728,0.00709
-2.0,-0.0446,0.00704
-1.75,-0.0162,0.007
-1.5,0.0121,0.00696
-1.25,0.0404,0.00692
-1.0,0.0688,0.00685
-0.75,0.097,0.0068
-0.5,0.1252,0.00669
-0.25,0.153,0.00657
0.0,0.1799,0.00624
0.25,0.2057,0.00582
0.5,0.2327,0.00556
0.75,0.2599,0.00538
1.0,0.2875,0.00526
1.25,0.3152,0.00517
1.5,0.3428,0.00512
1.75,0.3706,0.00506
2.0,0.3981,0.00505
2.25,0.4256,0.00504
2.5,0.4529,0.00505
2.75,0.4792,0.00508
3.0,0.5068,0.00513
3.25,0.5343,0.00521
3.5,0.5622,0.00528
3.75,0.5896,0.00536
4.0,0.6171,0.00546
4.25,0.6455,0.00554
4.5,0.6725,0.00567
4.75,0.7029,0.00575
5.0,0.7335,0.0059
5.25,0.7642,0.00601
5.5,0.7945,0.00616
5.75,0.8257,0.00633
6.0,0.8585,0.00648
6.25,0.8909,0.00667
6.5,0.9229,0.00688
6.75,0.9547,0.00709
7.0,0.9862,0.0073
7.25,1.0174,0.00755
7.5,1.0483,0.00782
7.75,1.0777,0.00812
8.0,1.0992,0.0084
8.25,1.1205,0.00871
8.5,1.1419,0.00904
8.75,1.1637,0.00937
9.0,1.1854,0.00973
9.25,1.2077,0.01008
9.5,1.2305,0.01042
9.75,1.2535,0.01078
10.25,1.3002,0.0115
10.5,1.3239,0.01184
10.75,1.3469,0.01223
11.0,1.3707,0.01255
11.25,1.3932,0.01296
11.5,1.4166,0.0133
11.75,1.4387,0.01372
12.0,1.4615,0.01407
12.25,1.4834,0.01447
12.5,1.5042,0.01494
12.75,1.5259,0.01531
13.0,1.5464,0.01575
13.25,1.5653,0.01628
13.5,1.5845,0.01674
13.75,1.603,0.0172
14.0,1.6181,0.01771
14.25,1.6309,0.01831
14.5,1.6423,0.01902
14.75,1.6554,0.01968
15.0,1.6683,0.02038
15.25,1.68,0.0212
15.5,1.6904,0.02215
15.75,1.6993,0.02326
16.0,1.7065,0.02459
16.25,1.7112,0.02621
16.5,1.7184,0.02775
16.75,1.7252,0.02943
17.0,1.7303,0.03136
17.25,1.7338,0.03358
17.5,1.7351,0.03613
17.75,1.7343,0.03904
18.0,1.7311,0.04233
