alpha,cl,cd
-8.0,-0.5014,0.07677
-7.75,-0.5123,0.0726
-7.5,-0.5483,0.06795
-7.25,-0.5287,0.06433
-7.0,-0.5204,0.06168
-6.75,-0.5415,0.05942
-6.5,-0.5266,0.0554
-6.25,-0.5164,0.05314
-6.0,-0.5186,0.05055
-5.75,-0.5082,0.04839
-5.5,-0.5057,0.04603
-5.25,-0.4964,0.04397
-5.0,-0.4898,0.04177
-4.75,-0.4613,0.02725
-4.5,-0.4422,0.02547
-4.25,-0.4232,0.02463
-4.0,-0.4011,0.02372
-3.75,-0.3525,0.02209
-3.5,-0.3027,0.02114
-3.25,-0.2559,0.01994
-3.0,-0.209,0.01888
-2.75,-0.159,0.01787
-2.5,-0.1154,0.01678
-2.25,-0.0773,0.01544
-2.0,-0.0588,0.01313
-1.75,-0.0101,0.01342
-1.5,0.0615,0.01379
-1.25,0.1404,0.01385
-1.0,0.2194,0.01355
-0.75,0.2415,0.01337
-0.5,0.2617,0.01326
-0.25,0.2828,0.01323
0.0,0.3047,0.01324
0.25,0.3274,0.0133
0.5,0.3504,0.01339
0.75,0.3737,0.01351
1.25,0.4202,0.01382
1.5,0.4436,0.014
1.75,0.4669,0.0142
2.0,0.4902,0.01441
2.25,0.5135,0.01464
2.5,0.537,0.0149
2.75,0.5605,0.01516
3.0,0.5836,0.01543
3.25,0.6072,0.01573
3.5,0.6306,0.01603
3.75,0.6538,0.01635
4.25,0.7006,0.01702
4.5,0.7244,0.0174
4.75,0.7476,0.01774
5.0,0.771,0.01815
5.25,0.7946,0.0185
5.5,0.8174,0.01894
5.75,0.8415,0.01931
6.0,0.8638,0.01975
6.25,0.8887,0.02014
6.5,0.9102,0.02057
6.75,0.9353,0.02098
7.0,0.9567,0.02138
7.25,0.9802,0.0218
7.5,1.0034,0.02211
7.75,1.0251,0.02254
8.0,1.0499,0.02281
8.25,1.0704,0.02312
8.5,1.0916,0.02346
8.75,1.1143,0.02371
9.0,1.1353,0.02393
9.25,1.1542,0.02426
9.5,1.1732,0.02459
9.75,1.1914,0.02493
10.0,1.2085,0.02532
10.25,1.2238,0.02579
10.5,1.2372,0.02637
10.75,1.2484,0.02711
11.0,1.2571,0.02802
11.25,1.2632,0.02915
11.5,1.2659,0.03045
11.75,1.2664,0.03193
12.0,1.2669,0.03364
12.25,1.2682,0.03547
12.5,1.2681,0.03744
12.75,1.2704,0.03955
13.0,1.2709,0.04177
13.25,1.2765,0.04391
13.5,1.2749,0.04651
13.75,1.2791,0.04873
14.0,1.2851,0.05116
14.25,1.2811,0.05426
14.5,1.2818,0.057
14.75,1.2998,0.05872
15.0,1.2893,0.0626
15.25,1.279,0.06672
15.5,1.269,0.071
15.75,1.2581,0.07551
16.0,1.2496,0.07981
16.25,1.2555,0.08236
16.5,1.2501,0.08688
16.75,1.2262,0.09358
17.0,1.1999,0.10116
17.25,1.1712,0.10965
17.75,0.5905,0.18101
18.0,0.5992,0.18326
