alpha,cl,cd
-8.0,-0.6589,0.00791
-7.75,-0.6315,0.00772
-7.5,-0.6038,0.00757
-7.25,-0.5759,0.00745
-7.0,-0.5482,0.00729
-6.75,-0.5203,0.00715
-6.5,-0.4923,0.00705
-6.25,-0.4644,0.0069
-6.0,-0.4363,0.0068
-5.75,-0.4083,0.00669
-5.5,-0.3802,0.0066
-5.25,-0.352,0.00649
-5.0,-0.3237,0.0064
-4.75,-0.2955,0.00631
-4.5,-0.2672,0.00625
-4.25,-0.239,0.00616
-4.0,-0.2107,0.00609
-3.75,-0.1824,0.00603
-3.5,-0.1542,0.00596
-3.25,-0.1258,0.0059
-3.0,-0.0975,0.00584
-2.75,-0.0691,0.0058
-2.5,-0.0408,0.00574
-2.25,-0.0124,0.0057
-2.0,0.016,0.00565
-1.75,0.0443,0.0056
-1.5,0.0727,0.00556
-1.25,0.1011,0.00552
-1.0,0.1296,0.0055
-0.75,0.1579,0.00546
-0.5,0.1863,0.00543
-0.25,0.2147,0.00541
0.0,0.2431,0.00538
0.25,0.2716,0.00534
0.5,0.2999,0.0053
0.75,0.328,0.00526
1.0,0.3562,0.00517
1.25,0.3844,0.00512
1.5,0.4125,0.0051
1.75,0.4405,0.00509
2.0,0.4685,0.00509
2.25,0.4964,0.00509
2.5,0.524,0.00514
2.75,0.5515,0.00518
3.0,0.5788,0.00522
3.25,0.606,0.00529
3.5,0.6324,0.00539
3.75,0.6588,0.00549
4.0,0.6846,0.00562
4.25,0.7093,0.00579
4.5,0.7344,0.00596
4.75,0.7604,0.0062
5.0,0.7901,0.00644
5.25,0.8203,0.0067
5.5,0.854,0.00698
5.75,0.8876,0.00725
6.0,0.916,0.00749
6.25,0.9396,0.00773
6.5,0.9637,0.00796
6.75,0.9886,0.00818
7.0,1.014,0.0084
7.25,1.0394,0.00863
7.5,1.0649,0.00887
7.75,1.0908,0.00907
8.0,1.1162,0.00933
8.25,1.142,0.00955
8.5,1.1674,0.0098
8.75,1.1931,0.01002
9.0,1.2182,0.0103
9.25,1.2437,0.01052
9.5,1.2685,0.0108
9.75,1.2933,0.01107
10.0,1.3183,0.01132
10.25,1.3426,0.01161
10.5,1.3664,0.01193
10.75,1.3909,0.01219
11.0,1.4148,0.01247
11.25,1.4379,0.01281
11.5,1.4603,0.01318
11.75,1.4836,0.01347
12.0,1.5063,0.01379
12.25,1.5282,0.01414
12.5,1.5493,0.01453
12.75,1.5694,0.01496
13.0,1.5895,0.01536
13.25,1.6093,0.01572
13.5,1.6266,0.01611
13.75,1.6428,0.01654
14.0,1.6583,0.01702
14.25,1.6729,0.01756
14.5,1.6865,0.01817
14.75,1.699,0.01887
15.0,1.713,0.0195
15.25,1.7269,0.02015
15.5,1.7402,0.02087
15.75,1.7527,0.02165
16.0,1.7647,0.02252
16.25,1.7754,0.02348
16.5,1.7854,0.02455
16.75,1.7944,0.02574
17.0,1.8021,0.02707
17.25,1.8085,0.02857
17.5,1.8137,0.03024
17.75,1.8174,0.03209
18.0,1.8192,0.03422
