alpha,cl,cd
-8.0,-0.6954,0.00984
-7.75,-0.6688,0.00959
-7.5,-0.6427,0.00938
-7.25,-0.6167,0.0092
-7.0,-0.5903,0.00904
-6.75,-0.5643,0.00881
-6.5,-0.5381,0.00861
-6.25,-0.5115,0.00847
-6.0,-0.4846,0.00836
-5.75,-0.4577,0.00825
-5.5,-0.4309,0.0081
-5.25,-0.4037,0.00802
-5.0,-0.3762,0.00797
-4.75,-0.3491,0.00785
-4.5,-0.3216,0.00779
-4.25,-0.294,0.00774
-4.0,-0.2665,0.00767
-3.75,-0.2386,0.00765
-3.5,-0.211,0.00757
-3.25,-0.1831,0.00756
-3.0,-0.1553,0.0075
-2.75,-0.1273,0.00747
-2.5,-0.0994,0.00743
-2.25,-0.0714,0.00739
-2.0,-0.0433,0.00735
-1.75,-0.0152,0.00731
-1.5,0.0129,0.00727
-1.25,0.0409,0.00721
-1.0,0.0689,0.00715
-0.75,0.0969,0.00704
-0.5,0.1243,0.00687
-0.25,0.15,0.00641
0.0,0.1756,0.00599
0.5,0.2291,0.00555
0.75,0.2563,0.00543
1.0,0.2836,0.00535
1.25,0.311,0.00529
1.5,0.3382,0.00528
1.75,0.3657,0.00526
2.0,0.3928,0.00528
2.5,0.4457,0.00535
2.75,0.4723,0.00544
3.0,0.5001,0.0055
3.25,0.5272,0.00559
3.5,0.5566,0.00567
3.75,0.5849,0.00577
4.0,0.6145,0.00587
4.25,0.6468,0.00597
4.5,0.6788,0.00611
4.75,0.7115,0.00621
5.0,0.7435,0.00636
5.25,0.775,0.00647
5.5,0.8084,0.00663
5.75,0.8416,0.00679
6.0,0.8746,0.00694
6.25,0.9071,0.00713
6.5,0.9393,0.00733
6.75,0.9715,0.00752
7.0,1.0035,0.00773
7.25,1.0274,0.00796
7.5,1.0495,0.0082
7.75,1.0715,0.00847
8.0,1.0935,0.00875
8.25,1.1156,0.00905
8.5,1.1374,0.0094
8.75,1.1592,0.00977
9.25,1.2033,0.01053
9.5,1.2257,0.01094
9.75,1.2484,0.01135
10.0,1.2715,0.01172
10.25,1.2945,0.01211
10.5,1.3172,0.01252
10.75,1.3396,0.01296
11.0,1.3626,0.01333
11.25,1.3848,0.01376
11.5,1.407,0.01416
11.75,1.4286,0.01461
12.0,1.4502,0.01503
12.25,1.4703,0.01554
12.5,1.4915,0.01594
12.75,1.5113,0.01643
13.0,1.5292,0.017
13.25,1.5481,0.01747
13.5,1.5646,0.01797
13.75,1.5777,0.01857
14.0,1.5888,0.01931
14.25,1.6022,0.01996
14.5,1.615,0.02067
14.75,1.6265,0.02151
15.0,1.6364,0.0225
15.25,1.6445,0.02368
15.5,1.6499,0.02516
15.75,1.6581,0.02653
16.0,1.666,0.02802
16.25,1.6723,0.02975
16.5,1.6768,0.03176
16.75,1.6795,0.03409
17.0,1.6798,0.0368
17.25,1.6778,0.0399
17.5,1.6725,0.04354
17.75,1.6633,0.04772
18.0,1.6501,0.05253
