alpha,cl,cd
-8.0,-0.433,0.00775
-7.75,-0.4047,0.00767
-7.5,-0.3762,0.00753
-7.25,-0.3479,0.00742
-7.0,-0.3192,0.00733
-6.75,-0.2908,0.00722
-6.5,-0.2624,0.00713
-6.25,-0.2336,0.00706
-6.0,-0.2052,0.00697
-5.75,-0.1764,0.0069
-5.5,-0.1479,0.00683
-5.25,-0.1194,0.00678
-5.0,-0.0905,0.00671
-4.75,-0.062,0.00665
-4.5,-0.0334,0.00661
-4.25,-0.0046,0.00656
-4.0,0.0239,0.00652
-3.75,0.0527,0.00649
-3.5,0.0814,0.00644
-3.25,0.1099,0.00642
-3.0,0.1388,0.00638
-2.75,0.1674,0.00635
-2.5,0.1961,0.00634
-2.25,0.2248,0.00631
-2.0,0.2534,0.00629
-1.75,0.2823,0.00627
-1.5,0.311,0.00626
-1.25,0.3398,0.00623
-1.0,0.3686,0.00621
-0.75,0.3972,0.00621
-0.5,0.4262,0.00619
-0.25,0.4549,0.00618
0.0,0.4836,0.00617
0.25,0.5125,0.00614
0.5,0.5411,0.00614
0.75,0.5698,0.00614
1.0,0.5988,0.00612
1.25,0.6274,0.00611
1.5,0.6558,0.00612
1.75,0.6845,0.00608
2.0,0.7131,0.00602
2.25,0.7409,0.00594
2.5,0.7689,0.00588
2.75,0.7974,0.00581
3.0,0.8253,0.00579
3.25,0.853,0.00579
3.5,0.881,0.00575
3.75,0.9079,0.00576
4.0,0.935,0.00573
4.25,0.9601,0.00576
4.5,0.984,0.00577
4.75,1.0101,0.0059
5.0,1.0417,0.00607
5.25,1.0756,0.00624
5.5,1.1016,0.00642
5.75,1.1264,0.00663
6.0,1.1512,0.00685
6.25,1.1764,0.00706
6.5,1.2013,0.00729
6.75,1.2257,0.00754
7.0,1.2499,0.00781
7.25,1.2736,0.0081
7.5,1.2968,0.0084
7.75,1.3196,0.00873
8.0,1.3418,0.00907
8.25,1.3638,0.00942
8.5,1.3852,0.00978
8.75,1.4058,0.01016
9.0,1.426,0.01053
9.25,1.4446,0.01091
9.5,1.4621,0.01129
9.75,1.4793,0.0117
10.0,1.4968,0.01211
10.25,1.5148,0.0125
10.5,1.5323,0.01292
10.75,1.5489,0.0134
11.0,1.5666,0.01382
11.25,1.583,0.01432
11.5,1.5994,0.01483
11.75,1.616,0.01533
12.0,1.6315,0.0159
12.25,1.6473,0.01647
12.5,1.6621,0.01711
12.75,1.6768,0.01776
13.0,1.6915,0.01843
13.25,1.7048,0.01922
13.5,1.7188,0.01996
13.75,1.732,0.02078
14.0,1.7433,0.02175
14.25,1.7559,0.02266
14.5,1.7677,0.02364
14.75,1.7775,0.02479
15.0,1.7874,0.02596
15.25,1.7983,0.0271
15.5,1.8077,0.02839
15.75,1.8147,0.02989
16.0,1.8216,0.03147
16.25,1.8304,0.03293
16.5,1.8378,0.03455
16.75,1.843,0.03641
17.0,1.8468,0.03844
17.25,1.85,0.04058
17.5,1.8558,0.04252
17.75,1.8603,0.04462
18.0,1.8625,0.04698
