alpha,cl,cd
-8.0,-0.7674,0.01869
-7.75,-0.7502,0.01797
-7.5,-0.7309,0.01728
-7.25,-0.6963,0.01674
-7.0,-0.6644,0.01543
-6.75,-0.6292,0.0149
-6.5,-0.5951,0.01437
-6.25,-0.5611,0.01383
-6.0,-0.5256,0.01333
-5.75,-0.4908,0.0125
-5.5,-0.4557,0.01207
-5.25,-0.4232,0.01175
-5.0,-0.3892,0.01139
-4.75,-0.3625,0.01081
-4.5,-0.3353,0.01048
-4.25,-0.3094,0.01023
-4.0,-0.2835,0.01006
-3.75,-0.2589,0.00967
-3.5,-0.2328,0.0095
-3.25,-0.2064,0.00938
-3.0,-0.181,0.00912
-2.75,-0.1545,0.00904
-2.5,-0.1283,0.00887
-2.25,-0.1016,0.00882
-2.0,-0.0752,0.0087
-1.75,-0.0486,0.00863
-1.5,-0.022,0.00855
-1.25,0.0035,0.00825
-1.0,0.0214,0.00693
-0.75,0.0449,0.00657
-0.5,0.0695,0.00639
-0.25,0.0945,0.00631
0.0,0.1197,0.00626
0.25,0.1452,0.00628
0.5,0.1707,0.00635
0.75,0.1962,0.00645
1.0,0.2217,0.00658
1.25,0.2468,0.00674
1.5,0.2729,0.00693
1.75,0.2993,0.00711
2.0,0.3297,0.00733
2.75,0.4267,0.0079
3.0,0.4593,0.00808
3.25,0.4969,0.00828
3.5,0.5341,0.00842
3.75,0.5699,0.00863
4.0,0.6052,0.00875
4.25,0.6401,0.00892
4.5,0.6764,0.00911
4.75,0.7127,0.00921
5.0,0.7484,0.00937
5.25,0.774,0.00958
5.5,0.7973,0.00967
5.75,0.8205,0.00978
6.0,0.8434,0.00993
6.25,0.8657,0.01015
6.5,0.8887,0.0103
6.75,0.9122,0.01042
7.0,0.9354,0.01058
7.25,0.9581,0.01081
7.5,0.9811,0.01102
7.75,1.0052,0.01116
8.0,1.0289,0.01133
8.25,1.0519,0.01158
8.5,1.0755,0.0118
8.75,1.1001,0.01195
9.0,1.124,0.01218
9.25,1.1476,0.01247
9.5,1.1725,0.01264
9.75,1.1965,0.01291
10.0,1.2202,0.01321
10.25,1.2447,0.01345
10.5,1.2677,0.01381
10.75,1.2917,0.01409
11.0,1.3146,0.01446
11.25,1.3375,0.01482
11.5,1.3593,0.01527
11.75,1.3812,0.0157
12.0,1.4014,0.01626
12.25,1.4211,0.01683
12.5,1.44,0.01744
12.75,1.4573,0.01815
13.0,1.4727,0.01896
13.5,1.4983,0.02063
13.75,1.5075,0.02156
14.0,1.5153,0.02262
14.25,1.5238,0.02368
14.5,1.5296,0.02498
14.75,1.5351,0.02638
15.0,1.5403,0.0279
15.25,1.5409,0.02993
15.5,1.5424,0.03207
15.75,1.5441,0.03436
16.0,1.5419,0.03727
16.25,1.5348,0.04098
16.5,1.5215,0.04581
16.75,1.509,0.05079
17.0,1.4952,0.05619
17.25,1.4745,0.06269
17.5,1.4479,0.07024
17.75,1.4159,0.07867
18.0,1.3809,0.08774
