alpha,cl,cd
-8.0,-0.893,0.0091
-7.75,-0.8606,0.00886
-7.5,-0.8279,0.00862
-7.25,-0.7987,0.00842
-7.0,-0.7692,0.00819
-6.75,-0.7386,0.00798
-6.5,-0.7111,0.0078
-6.25,-0.684,0.0076
-6.0,-0.6574,0.00743
-5.75,-0.6313,0.00725
-5.5,-0.6048,0.00707
-5.25,-0.5782,0.0069
-5.0,-0.5516,0.00676
-4.75,-0.5247,0.00661
-4.5,-0.4977,0.00645
-4.25,-0.4706,0.00631
-4.0,-0.4436,0.00616
-3.75,-0.4164,0.00603
-3.5,-0.3891,0.00591
-3.25,-0.3616,0.0058
-3.0,-0.3342,0.00568
-2.75,-0.3067,0.00559
-2.5,-0.2791,0.0055
-2.25,-0.2513,0.00542
-2.0,-0.2237,0.00535
-1.75,-0.1958,0.00529
-1.5,-0.1679,0.00524
-1.25,-0.1401,0.00519
-1.0,-0.112,0.00516
-0.5,-0.056,0.00511
-0.25,-0.028,0.0051
0.0,0.0,0.00509
0.25,0.0281,0.0051
0.5,0.056,0.00511
0.75,0.0841,0.00513
1.25,0.1401,0.00519
1.5,0.1679,0.00524
1.75,0.1958,0.00529
2.25,0.2514,0.00542
2.5,0.2791,0.0055
2.75,0.3067,0.00559
3.0,0.3342,0.00568
3.25,0.3616,0.0058
3.5,0.3891,0.00591
3.75,0.4164,0.00603
4.0,0.4435,0.00616
4.25,0.4706,0.00631
4.5,0.4977,0.00645
5.0,0.5516,0.00676
5.25,0.5782,0.0069
5.5,0.6048,0.00707
5.75,0.6313,0.00725
6.0,0.6573,0.00743
6.25,0.684,0.0076
6.5,0.7111,0.0078
6.75,0.7386,0.00798
7.0,0.7692,0.00819
7.25,0.7988,0.00842
7.5,0.8281,0.00862
7.75,0.8607,0.00886
8.0,0.8931,0.0091
8.25,0.9253,0.00933
8.5,0.9569,0.00962
8.75,0.9886,0.00983
9.0,1.0199,0.01009
9.25,1.0507,0.01041
9.5,1.0765,0.01062
9.75,1.098,0.01085
10.0,1.1196,0.01111
10.25,1.1411,0.01142
10.5,1.1637,0.01168
10.75,1.1868,0.01193
11.0,1.2101,0.01221
11.25,1.2334,0.01253
11.5,1.2566,0.01289
11.75,1.2794,0.0133
12.0,1.3033,0.0136
12.25,1.327,0.01392
12.5,1.3504,0.01427
12.75,1.3733,0.01464
13.0,1.3957,0.01505
13.25,1.4172,0.01552
13.5,1.4372,0.01611
13.75,1.4591,0.0165
14.0,1.4804,0.01692
14.25,1.5011,0.01736
14.5,1.521,0.01783
14.75,1.5401,0.01834
15.0,1.558,0.01888
15.25,1.5733,0.01944
15.5,1.5861,0.02007
15.75,1.5978,0.02078
16.0,1.608,0.02163
16.25,1.6159,0.02268
16.5,1.6225,0.02386
16.75,1.6329,0.02485
17.0,1.6425,0.02597
17.25,1.6509,0.02723
17.5,1.6581,0.02868
17.75,1.6643,0.03032
18.0,1.6691,0.03219
