alpha,cl,cd
-8.0,-0.2736,0.10466
-7.75,-0.2538,0.10083
-7.5,-0.232,0.09688
-7.25,-0.2168,0.0934
-7.0,-0.1941,0.0897
-6.75,-0.1554,0.08495
-6.5,-0.1447,0.07956
-6.25,-0.1288,0.07673
-6.0,-0.1,0.07278
-5.5,-0.014,0.06102
-5.25,0.0079,0.05772
-5.0,0.0423,0.05434
-4.75,0.0968,0.04792
-4.5,0.116,0.04542
-4.25,0.1428,0.04292
-4.0,0.1909,0.03738
-3.75,0.2248,0.03487
-3.5,0.2583,0.03146
-3.25,0.291,0.02946
-3.0,0.3478,0.01818
-2.75,0.3742,0.0173
-2.5,0.4085,0.0159
-2.25,0.4348,0.01543
-2.0,0.4659,0.01455
-1.75,0.4936,0.01403
-1.5,0.5218,0.01357
-1.25,0.5517,0.01312
-1.0,0.5786,0.01281
-0.75,0.6064,0.01252
-0.5,0.6352,0.01224
-0.25,0.6624,0.01197
0.0,0.6891,0.01164
0.25,0.7102,0.01026
0.5,0.738,0.01034
0.75,0.7659,0.01043
1.0,0.7928,0.01056
1.25,0.8195,0.0107
1.5,0.8463,0.01086
1.75,0.8733,0.01104
2.0,0.9007,0.01122
2.25,0.9269,0.01142
2.5,0.9535,0.01163
2.75,0.9806,0.01186
3.0,1.0069,0.01208
3.25,1.0335,0.01233
3.5,1.0605,0.01258
3.75,1.0865,0.01283
4.0,1.1138,0.0131
4.25,1.1394,0.01337
4.5,1.1666,0.01365
4.75,1.192,0.01394
5.0,1.219,0.01423
5.25,1.2444,0.01453
5.5,1.2708,0.01483
5.75,1.2964,0.01516
6.0,1.3221,0.01546
6.25,1.3464,0.01574
6.5,1.3683,0.01586
6.75,1.3881,0.01594
7.0,1.4078,0.01609
7.25,1.4277,0.01631
7.5,1.4472,0.01658
7.75,1.465,0.01684
8.0,1.4805,0.0172
8.25,1.4923,0.01764
8.5,1.49,0.01882
8.75,1.4696,0.02117
9.0,1.4472,0.02419
9.25,1.435,0.0268
9.5,1.4308,0.02896
9.75,1.4272,0.03119
10.0,1.4271,0.03326
10.25,1.4186,0.03615
10.5,1.4214,0.0382
10.75,1.4214,0.04056
11.0,1.4199,0.04313
11.25,1.4132,0.04624
11.5,1.4185,0.0483
11.75,1.4238,0.05036
12.0,1.4295,0.05242
12.25,1.4364,0.05439
12.5,1.4471,0.05617
12.75,1.467,0.05786
13.0,1.4731,0.06001
13.25,1.4812,0.06225
13.5,1.4912,0.06468
13.75,1.4985,0.06744
14.0,1.5021,0.07059
14.25,1.5014,0.07422
14.5,1.4958,0.07839
14.75,1.486,0.08289
15.0,1.473,0.08771
15.25,1.4586,0.09278
15.5,1.4415,0.09847
15.75,1.4235,0.10442
16.0,1.4024,0.11125
16.25,1.3802,0.11867
16.5,1.3577,0.12663
16.75,1.3351,0.13512
17.0,1.3128,0.14414
17.25,1.2917,0.15356
17.5,1.2721,0.16333
