alpha,cl,cd
-8.0,-0.1887,0.03484
-7.75,-0.1645,0.03773
-7.5,-0.1402,0.03989
-7.25,-0.1167,0.04183
-7.0,-0.0838,0.01053
-6.75,-0.0561,0.01011
-6.5,-0.0279,0.00981
-6.25,-0.0,0.00953
-6.0,0.0282,0.00929
-5.5,0.0845,0.00886
-5.25,0.1124,0.00813
-5.0,0.1406,0.00792
-4.75,0.1688,0.00775
-4.5,0.1969,0.00762
-4.25,0.2252,0.00752
-4.0,0.2534,0.00719
-3.5,0.3098,0.00703
-3.25,0.3379,0.00684
-3.0,0.3659,0.00678
-2.5,0.4221,0.00665
-2.25,0.4501,0.00664
-2.0,0.4781,0.00657
-1.75,0.506,0.00655
-1.5,0.5338,0.00655
-1.25,0.5616,0.00654
-1.0,0.5894,0.00654
-0.75,0.6173,0.00654
-0.5,0.6451,0.00656
0.0,0.7004,0.0066
0.25,0.728,0.00664
0.5,0.7558,0.00665
0.75,0.7835,0.00668
1.0,0.811,0.00672
1.25,0.8389,0.00671
1.5,0.8665,0.00669
