alpha,cl,cd
-8.0,-0.9073,0.00984
-7.75,-0.8749,0.00957
-7.5,-0.8421,0.00933
-7.25,-0.8091,0.00907
-7.0,-0.7766,0.00882
-6.75,-0.7453,0.0086
-6.5,-0.7141,0.00835
-6.25,-0.6828,0.00812
-5.75,-0.6251,0.00769
-5.5,-0.5972,0.00747
-5.25,-0.5711,0.00727
-5.0,-0.5447,0.00707
-4.75,-0.5187,0.00688
-4.5,-0.4922,0.0067
-4.25,-0.4657,0.00652
-4.0,-0.439,0.00636
-3.75,-0.4124,0.00618
-3.5,-0.3854,0.00604
-3.25,-0.3584,0.0059
-3.0,-0.3313,0.00577
-2.75,-0.3041,0.00566
-2.5,-0.2769,0.00557
-2.25,-0.2494,0.00547
-2.0,-0.2219,0.0054
-1.75,-0.1944,0.00534
-1.5,-0.1667,0.00528
-1.25,-0.1391,0.00523
-1.0,-0.1113,0.0052
-0.75,-0.0835,0.00517
-0.5,-0.0557,0.00515
-0.25,-0.0279,0.00513
0.0,0.0,0.00513
0.25,0.0279,0.00513
0.5,0.0557,0.00515
0.75,0.0836,0.00516
1.0,0.1113,0.0052
1.25,0.1391,0.00523
1.5,0.1667,0.00528
1.75,0.1945,0.00534
2.0,0.2219,0.0054
2.25,0.2495,0.00547
2.75,0.3041,0.00566
3.0,0.3313,0.00577
3.25,0.3584,0.0059
3.5,0.3854,0.00604
3.75,0.4124,0.00618
4.0,0.439,0.00636
4.25,0.4657,0.00652
4.5,0.4922,0.0067
4.75,0.5187,0.00689
5.0,0.5447,0.00707
5.25,0.5711,0.00727
5.5,0.5972,0.00747
5.75,0.6251,0.00769
6.0,0.6518,0.00791
6.25,0.6829,0.00812
6.5,0.7141,0.00835
6.75,0.7454,0.0086
7.0,0.7767,0.00882
7.25,0.8092,0.00907
7.5,0.8422,0.00933
7.75,0.875,0.00957
8.0,0.9074,0.00984
8.25,0.9395,0.01011
8.5,0.9716,0.01036
8.75,1.0017,0.01068
9.0,1.0229,0.0109
9.25,1.0444,0.01113
9.5,1.0657,0.01141
9.75,1.0867,0.01175
10.0,1.1092,0.012
10.25,1.1318,0.01226
10.5,1.1545,0.01256
10.75,1.177,0.01292
11.0,1.1994,0.01333
11.25,1.2231,0.01362
11.5,1.2466,0.01395
11.75,1.2698,0.01431
12.0,1.2925,0.01471
12.25,1.3145,0.01517
12.5,1.335,0.01576
12.75,1.3576,0.01613
13.0,1.3797,0.01654
13.25,1.4012,0.01697
13.5,1.4221,0.01742
13.75,1.4423,0.01792
14.0,1.4614,0.01847
14.25,1.4787,0.01912
14.5,1.4926,0.01993
14.75,1.5049,0.02063
15.0,1.5187,0.02123
15.25,1.5317,0.02191
15.5,1.544,0.02266
15.75,1.5551,0.02353
16.0,1.5655,0.02449
16.25,1.5748,0.02559
16.5,1.5833,0.02681
16.75,1.5904,0.02823
17.0,1.5963,0.02985
17.25,1.6005,0.03174
17.5,1.6028,0.03395
17.75,1.6027,0.03658
18.0,1.5991,0.03976
