alpha,cl,cd
-8.0,-0.7648,0.0164
-7.5,-0.7027,0.01544
-7.25,-0.6675,0.01487
-7.0,-0.6314,0.01437
-6.75,-0.5988,0.0135
-6.5,-0.5612,0.01297
-6.25,-0.5213,0.01256
-6.0,-0.4877,0.01223
-5.75,-0.4565,0.01161
-5.5,-0.426,0.01124
-5.25,-0.3964,0.01093
-5.0,-0.369,0.01069
-4.75,-0.3435,0.01024
-4.5,-0.3172,0.01003
-4.25,-0.2911,0.00985
-4.0,-0.2662,0.00952
-3.75,-0.24,0.00938
-3.5,-0.214,0.00922
-3.25,-0.1879,0.00906
-3.0,-0.1614,0.00899
-2.75,-0.1352,0.00884
-2.5,-0.1087,0.00876
-2.25,-0.082,0.0087
-2.0,-0.0554,0.00862
-1.75,-0.0288,0.00855
-1.5,-0.0024,0.00842
-1.25,0.0205,0.00776
-1.0,0.041,0.00688
-0.75,0.0649,0.00659
-0.5,0.0897,0.00645
-0.25,0.1146,0.00637
0.0,0.1401,0.00637
0.25,0.1655,0.00639
0.5,0.1914,0.00646
0.75,0.2171,0.00655
1.0,0.2429,0.00667
1.25,0.2688,0.0068
1.5,0.296,0.00697
2.0,0.3587,0.00729
2.25,0.3935,0.00744
2.5,0.4271,0.0076
2.75,0.4623,0.00772
3.0,0.4996,0.00789
3.25,0.5363,0.008
3.5,0.5719,0.00815
3.75,0.6065,0.00828
4.0,0.6426,0.00839
4.25,0.6787,0.00855
4.5,0.7149,0.00864
4.75,0.749,0.00878
5.0,0.7724,0.0089
5.25,0.7962,0.00899
5.5,0.8195,0.00912
5.75,0.8427,0.00927
6.0,0.8664,0.00938
6.25,0.8896,0.00954
6.5,0.913,0.0097
6.75,0.9368,0.00983
7.0,0.9598,0.01003
7.25,0.9838,0.01017
7.5,1.0074,0.01036
7.75,1.031,0.01056
8.0,1.0549,0.01075
8.25,1.0783,0.01099
8.5,1.1024,0.01119
8.75,1.126,0.01146
9.0,1.15,0.01171
9.25,1.1738,0.012
9.5,1.197,0.01235
9.75,1.2207,0.01266
10.0,1.2437,0.01304
10.25,1.2659,0.01348
10.5,1.2876,0.01398
10.75,1.3087,0.01452
11.0,1.3289,0.01511
11.25,1.3485,0.01575
11.5,1.3672,0.01644
12.0,1.4027,0.01785
12.25,1.4195,0.01857
12.5,1.4347,0.01936
12.75,1.4486,0.02014
13.0,1.4595,0.02094
13.25,1.4699,0.02179
13.5,1.4768,0.02291
13.75,1.4876,0.02383
14.0,1.4947,0.02506
14.25,1.4963,0.02679
14.5,1.5039,0.02819
14.75,1.5092,0.02989
15.0,1.5115,0.03204
15.25,1.5093,0.03483
15.75,1.4996,0.04181
16.0,1.4954,0.04555
16.25,1.4873,0.04996
16.5,1.4759,0.05493
16.75,1.4599,0.06063
17.0,1.4407,0.06681
17.25,1.4194,0.07336
17.5,1.3968,0.08015
17.75,1.3746,0.08704
18.0,1.3533,0.09382
