alpha,cl,cd
-8.0,-0.4307,0.00765
-7.75,-0.4024,0.00753
-7.5,-0.3742,0.00738
-7.25,-0.346,0.00722
-7.0,-0.3177,0.0071
-6.75,-0.2891,0.007
-6.5,-0.2608,0.00689
-6.25,-0.2324,0.00677
-6.0,-0.2038,0.00668
-5.75,-0.1754,0.00661
-5.5,-0.147,0.0065
-5.25,-0.1183,0.00643
-5.0,-0.0898,0.00636
-4.75,-0.0614,0.0063
-4.5,-0.0327,0.00625
-4.25,-0.0042,0.00617
-4.0,0.0244,0.00614
-3.75,0.0529,0.00609
-3.5,0.0814,0.00606
-3.25,0.11,0.00602
-3.0,0.1386,0.00598
-2.75,0.1671,0.00596
-2.5,0.1956,0.00593
-2.25,0.2241,0.00591
-2.0,0.2527,0.00589
-1.75,0.2813,0.00588
-1.25,0.3383,0.00584
-1.0,0.3669,0.00583
-0.75,0.3954,0.00583
-0.5,0.4241,0.0058
-0.25,0.4525,0.0058
0.0,0.4813,0.00578
0.25,0.5097,0.00579
0.5,0.5384,0.00576
0.75,0.5669,0.00576
1.0,0.5955,0.00575
1.25,0.6241,0.00572
1.5,0.6523,0.00572
1.75,0.6808,0.00562
2.0,0.7089,0.00549
2.25,0.7369,0.0054
2.5,0.7651,0.00531
2.75,0.7926,0.00525
3.0,0.8201,0.00512
3.25,0.8451,0.00504
3.5,0.8709,0.00501
3.75,0.9037,0.00515
4.0,0.9307,0.00531
4.25,0.9575,0.00549
4.5,0.9841,0.00568
4.75,1.0103,0.00591
5.0,1.0363,0.00614
5.25,1.0623,0.00638
5.5,1.0876,0.00667
5.75,1.1127,0.00697
6.0,1.137,0.00734
6.25,1.1615,0.00768
6.5,1.1854,0.00806
6.75,1.2089,0.00847
7.0,1.2328,0.00883
7.25,1.2565,0.0092
7.5,1.2799,0.00958
7.75,1.3037,0.00991
8.0,1.3275,0.01024
8.25,1.3512,0.01056
8.5,1.3749,0.01086
8.75,1.3984,0.01116
9.0,1.4213,0.01149
9.25,1.4446,0.01177
9.5,1.4669,0.01211
9.75,1.4894,0.01241
10.0,1.511,0.01276
10.25,1.5329,0.01306
10.5,1.5531,0.01342
10.75,1.5729,0.01375
11.0,1.5909,0.0141
11.25,1.6074,0.01451
11.5,1.625,0.01489
11.75,1.6425,0.01529
12.0,1.6586,0.01576
12.25,1.6739,0.01628
12.5,1.6901,0.01677
12.75,1.706,0.01728
13.0,1.7211,0.01785
13.25,1.7347,0.01852
13.5,1.7472,0.01927
13.75,1.7613,0.01995
14.0,1.7748,0.02069
14.25,1.7876,0.02149
14.5,1.7996,0.02237
14.75,1.8102,0.02337
15.0,1.8195,0.02449
15.25,1.8279,0.02573
15.5,1.8371,0.02695
15.75,1.8468,0.02815
16.0,1.8555,0.02946
16.25,1.8634,0.03089
16.5,1.8702,0.03246
16.75,1.876,0.03417
17.0,1.8805,0.03603
17.25,1.8841,0.03806
17.5,1.8864,0.04029
17.75,1.8871,0.04275
18.0,1.8862,0.04542
