alpha,cl,cd
-8.0,-0.7441,0.01329
-7.75,-0.7092,0.01293
-7.5,-0.6759,0.01257
-7.25,-0.6431,0.01198
-7.0,-0.6072,0.01145
-6.75,-0.5713,0.01112
-6.5,-0.542,0.01082
-6.25,-0.5117,0.01056
-6.0,-0.4853,0.01014
-5.75,-0.4589,0.00988
-5.5,-0.4326,0.00968
-5.25,-0.4065,0.0095
-5.0,-0.3812,0.0092
-4.75,-0.3552,0.00902
-4.5,-0.3287,0.0089
-4.25,-0.3024,0.00874
-4.0,-0.276,0.00861
-3.75,-0.2491,0.00853
-3.5,-0.2227,0.00841
-3.25,-0.1955,0.00835
-3.0,-0.1687,0.00827
-2.75,-0.1415,0.00823
-2.5,-0.1144,0.00817
-2.25,-0.0871,0.00815
-2.0,-0.0598,0.00811
-1.75,-0.0326,0.00808
-1.5,-0.0053,0.00804
-1.25,0.0218,0.00795
-1.0,0.0473,0.00762
-0.75,0.0683,0.00668
-0.5,0.0933,0.00639
-0.25,0.1192,0.00623
0.0,0.1451,0.00614
0.25,0.1712,0.00609
0.5,0.1976,0.00608
0.75,0.224,0.00608
1.0,0.2505,0.0061
1.25,0.2768,0.00615
1.5,0.3029,0.00623
1.75,0.3285,0.00631
2.0,0.3547,0.00642
2.25,0.3836,0.00652
2.5,0.4106,0.00664
3.0,0.4741,0.00689
3.25,0.5049,0.00698
3.5,0.5403,0.00711
3.75,0.5759,0.00725
4.0,0.6112,0.00735
4.25,0.6453,0.0075
4.5,0.6787,0.00761
4.75,0.7132,0.00773
5.0,0.7481,0.00789
5.25,0.7832,0.00798
5.5,0.8176,0.00812
5.75,0.8518,0.00827
6.0,0.878,0.00837
6.25,0.9012,0.00852
6.5,0.9247,0.00865
6.75,0.9481,0.00878
7.0,0.971,0.00898
7.25,0.9949,0.0091
7.5,1.0179,0.00931
7.75,1.0416,0.00946
8.0,1.0649,0.00969
8.25,1.0887,0.00988
8.5,1.1118,0.01013
8.75,1.1356,0.01035
9.0,1.1587,0.01066
9.25,1.1824,0.01093
9.5,1.2059,0.01124
9.75,1.2289,0.01162
10.0,1.2515,0.01204
10.5,1.2956,0.01299
10.75,1.3171,0.01351
11.0,1.3381,0.01406
11.25,1.3586,0.01465
11.5,1.3787,0.01523
11.75,1.3987,0.01581
12.0,1.4179,0.01642
12.25,1.4361,0.01708
12.5,1.4549,0.01766
12.75,1.4713,0.01837
13.0,1.4887,0.01896
13.25,1.501,0.01974
13.5,1.5141,0.02038
13.75,1.5257,0.02115
14.0,1.5342,0.02214
14.25,1.544,0.02311
14.5,1.5543,0.0241
14.75,1.5618,0.02535
15.0,1.5659,0.02696
15.25,1.5689,0.0288
15.5,1.5753,0.0305
15.75,1.5792,0.03256
16.0,1.5804,0.03506
16.25,1.5785,0.0381
16.5,1.5728,0.04178
16.75,1.5621,0.04635
17.0,1.5461,0.0518
17.25,1.526,0.05799
17.5,1.5086,0.06383
17.75,1.4881,0.07021
18.0,1.4642,0.0771
