alpha,cl,cd
-8.0,-0.653,0.00843
-7.75,-0.6257,0.00826
-7.5,-0.5984,0.00809
-7.25,-0.571,0.0079
-7.0,-0.5435,0.00775
-6.75,-0.5158,0.0076
-6.5,-0.4882,0.00744
-6.25,-0.4603,0.00733
-6.0,-0.4325,0.00716
-5.75,-0.4047,0.00706
-5.5,-0.3768,0.00692
-5.0,-0.3208,0.0067
-4.75,-0.2928,0.00662
-4.5,-0.2647,0.00651
-4.25,-0.2366,0.00641
-4.0,-0.2084,0.00633
-3.75,-0.1803,0.00625
-3.5,-0.1522,0.00617
-3.25,-0.1241,0.00609
-3.0,-0.0959,0.00602
-2.75,-0.0678,0.00596
-2.5,-0.0396,0.0059
-2.25,-0.0114,0.00584
-2.0,0.0168,0.00579
-1.75,0.045,0.00575
-1.5,0.0732,0.00569
-1.25,0.1014,0.00565
-1.0,0.1296,0.00562
-0.75,0.1578,0.00558
-0.25,0.2143,0.00552
0.0,0.2425,0.00546
0.25,0.2705,0.00539
0.5,0.2984,0.0053
0.75,0.3263,0.00525
1.0,0.3543,0.0052
1.25,0.3824,0.00515
1.5,0.4104,0.00512
1.75,0.4383,0.00511
2.0,0.466,0.00508
2.25,0.4937,0.00507
2.5,0.5212,0.00508
2.75,0.5481,0.00511
3.0,0.5747,0.00516
3.25,0.6006,0.00525
3.5,0.6262,0.00535
3.75,0.6514,0.00549
4.0,0.6776,0.00568
4.25,0.7062,0.00589
4.5,0.7371,0.00615
4.75,0.7689,0.0064
5.0,0.8031,0.00671
5.25,0.8372,0.00704
5.5,0.8655,0.0073
5.75,0.8886,0.00755
6.0,0.9116,0.00784
6.25,0.9354,0.00809
6.5,0.9597,0.00836
6.75,0.9845,0.00861
7.0,1.0097,0.00885
7.25,1.0348,0.00911
7.5,1.0598,0.00939
7.75,1.0854,0.00962
8.0,1.1107,0.00988
8.25,1.1358,0.01015
8.5,1.1611,0.0104
8.75,1.186,0.01068
9.0,1.2111,0.01094
9.25,1.2359,0.01122
9.5,1.2603,0.01152
9.75,1.2849,0.01178
10.0,1.3088,0.01211
10.25,1.3327,0.01241
10.5,1.3568,0.0127
10.75,1.38,0.01304
11.0,1.4024,0.01343
11.25,1.4256,0.01373
11.5,1.4483,0.01406
11.75,1.4701,0.01443
12.0,1.4907,0.01486
12.25,1.5114,0.01527
12.5,1.5322,0.01564
12.75,1.552,0.01603
13.0,1.5693,0.01645
13.25,1.5849,0.01693
13.5,1.5994,0.01749
13.75,1.6127,0.01813
14.0,1.6284,0.01864
14.25,1.6435,0.01921
14.5,1.6579,0.01983
14.75,1.6715,0.02052
15.0,1.6842,0.02128
15.25,1.6958,0.02215
15.5,1.7064,0.02312
15.75,1.715,0.02427
16.0,1.7219,0.02561
16.25,1.7313,0.02681
16.5,1.7405,0.02806
16.75,1.749,0.02943
17.0,1.7565,0.03094
17.25,1.7628,0.0326
17.5,1.768,0.03444
17.75,1.7722,0.03644
18.0,1.7748,0.03865
