alpha,cl,cd
-8.0,-0.747,0.02058
-7.75,-0.7284,0.01993
-7.5,-0.709,0.01939
-7.25,-0.6864,0.01834
-7.0,-0.6497,0.01782
-6.75,-0.6117,0.01734
-6.5,-0.5779,0.0164
-6.25,-0.5404,0.01601
-6.0,-0.5028,0.01525
-5.75,-0.4659,0.01491
-5.5,-0.4306,0.01426
-5.25,-0.392,0.01372
-5.0,-0.3515,0.01326
-4.75,-0.3204,0.01286
-4.5,-0.2824,0.0124
-4.25,-0.2426,0.01198
-4.0,-0.2099,0.01158
-3.75,-0.1765,0.0112
-3.5,-0.141,0.0108
-3.25,-0.113,0.01047
-3.0,-0.0814,0.0101
-2.5,-0.0255,0.0094
-2.25,-0.0005,0.00905
-2.0,0.0253,0.00869
-1.75,0.0508,0.00835
-1.5,0.0752,0.00808
-1.25,0.0997,0.00784
-0.75,0.1488,0.00754
-0.5,0.1738,0.00749
-0.25,0.2006,0.00751
0.0,0.2316,0.00758
0.25,0.265,0.00768
0.5,0.3035,0.00779
0.75,0.3471,0.0079
1.0,0.3922,0.00799
1.25,0.4372,0.00808
1.5,0.4672,0.00816
1.75,0.491,0.00825
2.0,0.5147,0.00835
2.25,0.5384,0.00847
2.5,0.5621,0.00859
2.75,0.5859,0.00873
3.0,0.6096,0.00888
3.25,0.6334,0.00903
3.5,0.6571,0.00919
3.75,0.6808,0.00937
4.0,0.7044,0.00954
4.25,0.7281,0.00973
4.5,0.7517,0.00992
4.75,0.7755,0.01012
5.0,0.7992,0.01033
5.25,0.823,0.01055
5.5,0.8465,0.0108
5.75,0.8701,0.01106
6.0,0.8933,0.01135
6.25,0.916,0.01169
6.5,0.9381,0.0121
6.75,0.9596,0.01257
7.0,0.9806,0.0131
7.25,1.0011,0.0137
7.5,1.0208,0.01436
7.75,1.04,0.01507
8.0,1.0586,0.01582
8.25,1.0774,0.01654
8.5,1.0957,0.01728
9.0,1.1301,0.01883
9.25,1.1469,0.01959
9.5,1.1627,0.02039
9.75,1.1775,0.02117
10.0,1.1874,0.02216
10.25,1.2015,0.0229
10.5,1.212,0.02389
10.75,1.2205,0.02509
11.0,1.233,0.02603
11.25,1.2439,0.0271
11.5,1.2508,0.02853
11.75,1.2589,0.02997
12.0,1.2696,0.03118
12.25,1.2791,0.03251
12.5,1.2872,0.034
12.75,1.293,0.03588
13.0,1.3001,0.03768
13.25,1.3075,0.03938
13.5,1.3139,0.04122
13.75,1.3199,0.04311
14.0,1.3256,0.04506
14.25,1.331,0.04713
14.5,1.335,0.04959
14.75,1.3358,0.05219
15.0,1.3358,0.05499
15.25,1.3349,0.05797
15.5,1.3331,0.0611
15.75,1.3305,0.0644
16.0,1.327,0.06791
16.25,1.3233,0.07151
16.5,1.3201,0.07514
16.75,1.3176,0.07871
17.0,1.3149,0.08231
17.25,1.3043,0.08721
17.5,1.2885,0.09328
17.75,1.2713,0.09987
18.0,1.2521,0.10707
