alpha,cl,cd
-8.0,-0.4063,0.01208
-7.75,-0.3801,0.01169
-7.5,-0.3532,0.01144
-7.25,-0.3258,0.01124
-7.0,-0.2991,0.01091
-6.75,-0.2719,0.01069
-6.25,-0.2173,0.01024
-6.0,-0.1895,0.01011
-5.75,-0.1623,0.00985
-5.5,-0.1345,0.00972
-5.25,-0.1071,0.00951
-5.0,-0.0793,0.00941
-4.75,-0.0518,0.00921
-4.5,-0.0243,0.0091
-4.25,0.0035,0.00896
-4.0,0.031,0.00884
-3.75,0.0587,0.00875
-3.5,0.0864,0.00865
-3.25,0.1137,0.00856
-3.0,0.1414,0.00847
-2.75,0.169,0.00841
-2.5,0.1964,0.00836
-2.25,0.224,0.00829
-2.0,0.2514,0.00824
-1.75,0.2786,0.00821
-1.5,0.3062,0.00816
-1.0,0.3605,0.00811
-0.75,0.388,0.00806
-0.25,0.442,0.00799
0.0,0.4688,0.00787
0.25,0.4944,0.00771
0.5,0.5208,0.00754
0.75,0.5462,0.00745
1.0,0.572,0.00732
1.25,0.5959,0.00725
1.5,0.6193,0.00717
1.75,0.6454,0.00722
2.0,0.6823,0.00734
2.25,0.7219,0.00746
2.5,0.764,0.00763
2.75,0.7929,0.00771
3.0,0.8163,0.00783
3.25,0.8399,0.00795
3.5,0.8649,0.00804
3.75,0.8893,0.00817
4.0,0.9139,0.00831
4.25,0.9399,0.0084
4.5,0.965,0.00855
4.75,0.9901,0.00871
5.0,1.0163,0.00881
5.25,1.0412,0.00897
5.5,1.0667,0.00912
5.75,1.0924,0.00925
6.0,1.1164,0.00946
6.25,1.1425,0.00957
6.75,1.1916,0.00993
7.0,1.2148,0.01017
7.25,1.2389,0.01036
7.5,1.2619,0.01061
7.75,1.2833,0.0109
8.0,1.3057,0.01116
8.25,1.326,0.01145
8.5,1.3448,0.0118
8.75,1.3629,0.0122
9.0,1.3811,0.01261
9.25,1.3987,0.01306
9.5,1.4155,0.01356
9.75,1.4313,0.01412
10.0,1.4461,0.01474
10.25,1.4598,0.01542
10.5,1.4727,0.01616
11.0,1.4958,0.01784
11.25,1.5063,0.01877
11.5,1.5163,0.01976
11.75,1.5258,0.02081
12.0,1.535,0.02192
12.25,1.5436,0.02309
12.5,1.5512,0.02439
13.0,1.5655,0.02717
13.25,1.5715,0.02873
13.5,1.5771,0.03037
13.75,1.5828,0.03205
14.0,1.5869,0.03393
14.25,1.5915,0.03584
14.5,1.5952,0.03789
14.75,1.5967,0.04022
15.0,1.601,0.04234
15.25,1.6016,0.0449
15.5,1.6017,0.04758
15.75,1.6039,0.05008
16.0,1.603,0.05298
16.25,1.5983,0.05637
16.5,1.5996,0.05914
16.75,1.5984,0.06222
17.0,1.5947,0.06565
17.25,1.5877,0.06956
17.5,1.5838,0.07313
17.75,1.582,0.07642
18.0,1.5782,0.08003
