alpha,cl,cd
-8.0,-0.7715,0.01455
-7.75,-0.7378,0.01416
-7.5,-0.7069,0.01308
-7.25,-0.6725,0.01273
-7.0,-0.6401,0.0124
-6.75,-0.6065,0.01202
-6.5,-0.5718,0.01164
-6.25,-0.5379,0.01118
-6.0,-0.509,0.01065
-5.75,-0.4782,0.01036
-5.5,-0.4504,0.01011
-5.25,-0.4227,0.0099
-5.0,-0.3982,0.00955
-4.75,-0.3735,0.00931
-4.5,-0.348,0.00915
-4.25,-0.3217,0.00902
-4.0,-0.2958,0.00878
-3.75,-0.2692,0.00865
-3.5,-0.2425,0.00859
-3.25,-0.216,0.00844
-3.0,-0.189,0.00836
-2.75,-0.1617,0.00834
-2.5,-0.135,0.00824
-2.25,-0.1077,0.00822
-2.0,-0.0806,0.00816
-1.75,-0.0532,0.00811
-1.5,-0.0259,0.00808
-1.25,0.0012,0.00804
-1.0,0.0255,0.00751
-0.75,0.0471,0.00667
-0.5,0.0721,0.00636
-0.25,0.0978,0.00621
0.0,0.1237,0.00613
0.25,0.1496,0.00608
0.5,0.1758,0.00608
0.75,0.202,0.0061
1.0,0.2282,0.00615
1.25,0.2541,0.00625
1.5,0.2797,0.00635
1.75,0.3056,0.00646
2.0,0.3323,0.0066
2.25,0.3595,0.00672
2.5,0.3863,0.00685
2.75,0.415,0.007
3.0,0.4431,0.00712
3.25,0.4749,0.00728
3.5,0.5058,0.0074
3.75,0.5385,0.00756
4.0,0.5742,0.0077
4.25,0.6097,0.00783
4.5,0.6442,0.00799
4.75,0.6778,0.00815
5.0,0.7116,0.00826
5.25,0.7469,0.0084
5.5,0.7815,0.00859
5.75,0.8163,0.00871
6.0,0.8508,0.00883
6.25,0.8793,0.00897
6.5,0.9018,0.00917
6.75,0.9251,0.00928
7.0,0.9485,0.00939
7.25,0.9717,0.00954
7.5,0.9944,0.00974
7.75,1.0178,0.0099
8.0,1.0417,0.01004
8.25,1.0652,0.01022
8.5,1.0881,0.01048
8.75,1.1126,0.01061
9.0,1.1365,0.01081
9.25,1.1597,0.01109
9.5,1.1845,0.01126
9.75,1.2086,0.01151
10.0,1.2324,0.01181
10.25,1.2569,0.01205
10.5,1.2802,0.01241
10.75,1.3043,0.01268
11.0,1.3269,0.0131
11.25,1.3504,0.01344
11.5,1.3723,0.0139
11.75,1.3935,0.01442
12.0,1.4148,0.01491
12.25,1.4349,0.01549
12.5,1.4538,0.01614
12.75,1.4716,0.01685
13.0,1.4889,0.01756
13.25,1.506,0.01824
13.5,1.5214,0.019
13.75,1.534,0.01979
14.0,1.5456,0.02053
14.25,1.5548,0.02145
14.5,1.5649,0.02236
14.75,1.5741,0.02337
15.0,1.5796,0.02468
15.25,1.5878,0.02589
15.5,1.5944,0.0273
15.75,1.5977,0.02908
16.0,1.597,0.03139
16.25,1.5996,0.03357
16.5,1.6012,0.03602
16.75,1.599,0.03906
17.0,1.593,0.04277
17.25,1.5825,0.04727
17.5,1.5664,0.05275
17.75,1.5443,0.05931
18.0,1.5171,0.06678
