alpha,cl,cd
-8.0,-0.3474,0.11836
-7.75,-0.3656,0.11835
-7.5,-0.3795,0.11783
-7.25,-0.3665,0.11393
-7.0,-0.3461,0.1063
-6.75,-0.3251,0.10246
-6.5,-0.3006,0.09841
-6.25,-0.2555,0.09491
-6.0,-0.2392,0.08935
-5.75,-0.2229,0.08485
-5.5,-0.1992,0.08119
-5.25,-0.1664,0.07707
-5.0,-0.1203,0.07147
-4.75,-0.1018,0.06814
-4.5,-0.0453,0.06317
-4.25,-0.0264,0.05968
-4.0,0.0378,0.05443
-3.75,0.0515,0.05194
-3.5,0.104,0.04774
-3.0,0.1856,0.0415
-2.75,0.2347,0.03823
-2.5,0.3224,0.02649
-2.25,0.3551,0.0251
-2.0,0.3983,0.02322
-1.5,0.4701,0.02111
-1.25,0.5116,0.02004
-1.0,0.5382,0.01949
-0.75,0.5713,0.01882
-0.5,0.6032,0.01813
-0.25,0.6318,0.01757
0.0,0.6646,0.01612
0.25,0.6874,0.01535
0.5,0.717,0.01531
0.75,0.7489,0.01517
1.0,0.7755,0.01528
1.25,0.8033,0.01536
1.5,0.8344,0.01532
1.75,0.8605,0.0155
2.0,0.887,0.0157
2.25,0.9161,0.01581
2.5,0.9427,0.01603
2.75,0.9687,0.01631
3.0,0.9987,0.01645
3.25,1.0226,0.01682
3.5,1.0499,0.0171
3.75,1.0763,0.01741
4.0,1.1019,0.01778
4.25,1.1293,0.01807
4.5,1.1539,0.01851
4.75,1.1814,0.01881
5.0,1.2053,0.0193
5.25,1.2327,0.01962
5.5,1.2561,0.02015
5.75,1.2833,0.02049
6.0,1.3063,0.02104
6.25,1.3333,0.02139
6.5,1.3556,0.02197
6.75,1.3843,0.02215
7.0,1.4085,0.022
7.25,1.4257,0.02173
7.5,1.4481,0.02139
7.75,1.4644,0.02148
8.0,1.4811,0.02159
8.25,1.4959,0.0217
8.5,1.505,0.02193
8.75,1.5052,0.0224
9.0,1.4864,0.02394
9.25,1.4581,0.02694
9.5,1.4331,0.03041
9.75,1.4172,0.03353
10.0,1.407,0.03639
10.25,1.3989,0.03925
10.5,1.3917,0.04217
10.75,1.3865,0.04504
11.0,1.3866,0.04752
11.25,1.3861,0.05011
11.5,1.3944,0.05204
11.75,1.4067,0.05374
12.0,1.4271,0.0552
12.25,1.4544,0.05695
12.5,1.4729,0.05903
12.75,1.4938,0.06154
13.0,1.5092,0.06453
13.25,1.519,0.06757
13.5,1.5226,0.07084
13.75,1.5317,0.0756
14.0,1.5257,0.08023
14.25,1.5139,0.08412
14.5,1.4989,0.08806
14.75,1.4813,0.09231
15.0,1.459,0.09721
15.25,1.4265,0.10349
15.5,1.392,0.111
15.75,1.3616,0.11906
16.0,1.3327,0.12775
16.25,1.3048,0.13717
16.5,1.2774,0.14749
16.75,1.2525,0.15848
17.0,1.2353,0.1685
17.25,1.2424,0.17236
17.5,0.8889,0.17998
17.75,0.8794,0.19856
18.0,0.8441,0.20255
