alpha,cl,cd
-8.0,-0.4254,0.00884
-7.75,-0.3975,0.00871
-7.5,-0.3695,0.00851
-7.25,-0.3415,0.00839
-7.0,-0.3131,0.00826
-6.75,-0.2853,0.00812
-6.5,-0.2569,0.008
-6.0,-0.2005,0.00777
-5.75,-0.1724,0.00769
-5.5,-0.1441,0.00758
-5.25,-0.1157,0.0075
-5.0,-0.0876,0.00742
-4.75,-0.0591,0.00734
-4.5,-0.031,0.00727
-4.25,-0.0027,0.0072
-4.0,0.0258,0.00715
-3.75,0.0539,0.00709
-3.5,0.0823,0.00705
-3.25,0.1107,0.007
-3.0,0.1387,0.00696
-2.75,0.1672,0.00693
-2.5,0.1955,0.0069
-2.0,0.252,0.00684
-1.75,0.2803,0.00683
-1.5,0.3086,0.00682
-1.25,0.337,0.00679
-1.0,0.365,0.00679
-0.75,0.3936,0.00676
-0.5,0.4216,0.00677
-0.25,0.4502,0.00674
0.0,0.4783,0.00674
0.25,0.5067,0.00673
0.5,0.535,0.00671
0.75,0.5629,0.00671
1.0,0.5914,0.00665
1.25,0.619,0.00655
1.5,0.6463,0.00644
1.75,0.6744,0.00634
2.0,0.702,0.00627
2.25,0.7292,0.00624
2.5,0.7569,0.00615
2.75,0.7837,0.00607
3.0,0.8089,0.00603
3.25,0.8328,0.00601
3.5,0.8606,0.00605
4.25,0.9662,0.00637
4.5,0.9905,0.00651
4.75,1.0163,0.00659
5.0,1.0414,0.00675
5.25,1.0675,0.00687
5.5,1.0925,0.00705
5.75,1.1184,0.0072
6.0,1.1437,0.00738
6.25,1.1683,0.00761
6.5,1.1933,0.00781
6.75,1.218,0.00803
7.0,1.2421,0.00828
7.25,1.2656,0.00856
7.5,1.2886,0.00886
7.75,1.3111,0.00918
8.0,1.333,0.00952
8.25,1.3542,0.00988
8.5,1.3746,0.01026
8.75,1.3941,0.01067
9.0,1.4114,0.01108
9.25,1.428,0.01153
9.5,1.4443,0.01201
9.75,1.4603,0.01251
10.0,1.4759,0.01304
10.25,1.4911,0.0136
10.5,1.507,0.01414
10.75,1.5226,0.01469
11.0,1.5373,0.0153
11.25,1.5514,0.01596
11.5,1.5656,0.01662
11.75,1.5805,0.01727
12.0,1.5932,0.01805
12.25,1.6069,0.01879
12.5,1.6199,0.01961
12.75,1.6326,0.02046
13.0,1.6445,0.02138
13.25,1.6568,0.0223
13.5,1.6668,0.02341
13.75,1.6785,0.02443
14.0,1.6876,0.02566
14.25,1.6978,0.02685
14.5,1.7072,0.02814
14.75,1.7144,0.02963
15.0,1.7227,0.03108
15.25,1.7307,0.0326
15.5,1.7365,0.03438
15.75,1.7409,0.03632
16.0,1.7478,0.03807
16.25,1.7531,0.04002
16.5,1.7565,0.0422
16.75,1.7581,0.04463
17.0,1.761,0.04696
17.25,1.7638,0.04934
17.5,1.7651,0.05192
17.75,1.7648,0.05472
18.0,1.763,0.05774
