alpha,cl,cd
-8.0,-0.9167,0.01154
-7.75,-0.8957,0.01128
-7.5,-0.8746,0.01102
-7.25,-0.8499,0.01072
-7.0,-0.8162,0.01044
-6.75,-0.7824,0.01015
-6.5,-0.7484,0.00984
-6.25,-0.7137,0.00955
-6.0,-0.6808,0.00926
-5.75,-0.6478,0.00896
-5.5,-0.6138,0.00867
-5.25,-0.579,0.00837
-5.0,-0.5445,0.00808
-4.75,-0.5148,0.00778
-4.5,-0.4843,0.00752
-4.25,-0.4556,0.00725
-4.0,-0.4282,0.007
-3.75,-0.4017,0.00678
-3.5,-0.3754,0.00656
-3.25,-0.3493,0.00637
-3.0,-0.323,0.00619
-2.75,-0.2966,0.00602
-2.5,-0.27,0.00589
-2.25,-0.2433,0.00577
-2.0,-0.2165,0.00566
-1.75,-0.1896,0.00558
-1.5,-0.1627,0.00549
-1.25,-0.1356,0.00543
-1.0,-0.1086,0.00539
-0.75,-0.0814,0.00535
-0.5,-0.0543,0.00534
-0.25,-0.0272,0.00531
0.0,-0.0,0.00532
0.25,0.0272,0.00531
0.5,0.0543,0.00534
0.75,0.0815,0.00535
1.0,0.1086,0.0054
1.25,0.1356,0.00543
1.5,0.1627,0.00549
1.75,0.1897,0.00558
2.0,0.2166,0.00566
2.25,0.2433,0.00577
2.5,0.27,0.00589
2.75,0.2966,0.00602
3.0,0.323,0.00619
3.25,0.3493,0.00637
3.5,0.3754,0.00656
3.75,0.4017,0.00678
4.0,0.4282,0.007
4.25,0.4556,0.00725
4.5,0.4844,0.00752
4.75,0.5148,0.00778
5.0,0.5445,0.00808
5.25,0.579,0.00837
5.5,0.6138,0.00867
5.75,0.6478,0.00896
6.0,0.6808,0.00926
6.25,0.7138,0.00955
6.5,0.7484,0.00984
6.75,0.7825,0.01015
7.0,0.8163,0.01044
7.25,0.85,0.01072
7.5,0.8745,0.01102
7.75,0.8956,0.01127
8.0,0.9166,0.01153
8.25,0.9369,0.01189
8.5,0.9586,0.01213
8.75,0.9799,0.01243
9.0,0.9999,0.01288
9.25,1.0223,0.01313
9.5,1.0443,0.01343
9.75,1.0658,0.01382
10.0,1.0865,0.01432
10.25,1.1093,0.01465
10.5,1.1319,0.01502
10.75,1.1541,0.01544
11.0,1.1746,0.01603
11.25,1.1955,0.01658
11.5,1.2178,0.01698
11.75,1.2395,0.01743
12.0,1.2605,0.01792
12.25,1.2803,0.01851
12.5,1.2966,0.01935
12.75,1.313,0.02012
13.0,1.3317,0.02068
13.25,1.349,0.0213
13.5,1.3633,0.02197
13.75,1.3757,0.02269
14.0,1.3875,0.02348
14.25,1.3981,0.02439
14.5,1.4067,0.02549
14.75,1.4107,0.02699
15.0,1.4061,0.0293
15.25,1.4139,0.03079
15.5,1.4215,0.03241
15.75,1.426,0.03444
16.0,1.4286,0.03683
16.25,1.4295,0.03959
16.5,1.4284,0.04275
16.75,1.4242,0.04652
17.0,1.4176,0.05076
17.25,1.4078,0.05564
17.5,1.394,0.06121
17.75,1.3759,0.06756
18.0,1.3549,0.07449
