alpha,cl,cd
-8.0,-0.6838,0.04057
-7.75,-0.6789,0.03743
-7.5,-0.6701,0.0347
-7.25,-0.6585,0.03249
-7.0,-0.6452,0.03071
-6.75,-0.6282,0.02847
-6.5,-0.6096,0.02729
-6.25,-0.5907,0.02617
-6.0,-0.5706,0.02467
-5.75,-0.5501,0.0238
-5.5,-0.5288,0.023
-5.25,-0.5071,0.022
-5.0,-0.4846,0.02126
-4.75,-0.4625,0.02064
-4.5,-0.4402,0.02
-4.25,-0.4179,0.01946
-4.0,-0.3959,0.019
-3.75,-0.3739,0.01862
-3.5,-0.3361,0.01817
-3.25,-0.2926,0.01772
-3.0,-0.2473,0.01731
-2.75,-0.2075,0.01682
-2.5,-0.167,0.01633
-2.25,-0.1281,0.01583
-2.0,-0.095,0.01546
-1.75,-0.0569,0.01525
-1.5,-0.0231,0.01526
-1.25,0.0397,0.01534
-1.0,0.1219,0.01533
-0.75,0.2094,0.01507
-0.5,0.2489,0.01478
-0.25,0.2823,0.01449
0.0,0.3135,0.01423
0.25,0.3423,0.014
0.5,0.3692,0.0138
0.75,0.3947,0.01364
1.0,0.4194,0.01353
1.25,0.4436,0.01346
1.5,0.4676,0.01344
1.75,0.4916,0.01345
2.0,0.5156,0.0135
2.25,0.5396,0.01358
2.5,0.5636,0.01369
2.75,0.5875,0.01382
3.0,0.6115,0.01397
3.25,0.6355,0.01414
3.5,0.6596,0.01433
3.75,0.6836,0.01452
4.0,0.7076,0.01473
4.25,0.7315,0.01495
4.5,0.7553,0.01517
4.75,0.7791,0.01539
5.0,0.8027,0.01561
5.25,0.8263,0.01585
5.5,0.8491,0.0161
5.75,0.8713,0.01634
6.0,0.8935,0.0166
6.25,0.9153,0.01688
6.5,0.9359,0.01715
6.75,0.9562,0.01747
7.0,0.9753,0.01783
7.25,0.9932,0.01829
7.5,1.0097,0.01889
7.75,1.0239,0.01971
8.0,1.037,0.02072
8.25,1.049,0.0219
8.5,1.0609,0.02317
8.75,1.0738,0.0244
9.0,1.0873,0.02567
9.25,1.1017,0.02697
9.5,1.117,0.02838
9.75,1.133,0.02963
10.0,1.1509,0.03114
10.25,1.169,0.03253
10.5,1.1883,0.03427
10.75,1.2054,0.03572
11.0,1.2295,0.03792
11.25,1.2413,0.03957
11.5,1.2554,0.0414
11.75,1.2727,0.04325
12.0,1.2858,0.04609
12.25,1.2832,0.04814
12.5,1.2808,0.05061
12.75,1.2765,0.05331
13.0,1.2704,0.05613
13.25,1.2638,0.05905
13.5,1.2625,0.06179
13.75,1.2605,0.06472
14.0,1.2562,0.06853
14.25,1.2397,0.07336
14.5,1.2163,0.07831
14.75,1.1891,0.08359
15.25,0.9585,0.13176
15.75,0.8574,0.18624
16.0,0.8612,0.19185
16.25,0.8405,0.19605
16.5,0.851,0.19904
16.75,0.876,0.20239
17.0,0.8841,0.20798
17.25,0.8631,0.21105
17.5,0.8702,0.21442
17.75,0.8827,0.21748
18.0,0.9167,0.22393
