alpha,cl,cd
-8.0,-0.6995,0.02939
-7.75,-0.6867,0.02772
-7.5,-0.6713,0.02668
-7.25,-0.6565,0.02548
-7.0,-0.6416,0.02428
-6.75,-0.6264,0.02296
-6.5,-0.6101,0.02193
-6.25,-0.5781,0.02003
-6.0,-0.539,0.01916
-5.75,-0.501,0.01835
-5.5,-0.4627,0.01723
-5.25,-0.4223,0.01645
-5.0,-0.3858,0.01582
-4.75,-0.3462,0.01491
-4.5,-0.308,0.01436
-4.25,-0.2718,0.0137
-4.0,-0.2389,0.01316
-3.75,-0.2059,0.01262
-3.5,-0.1767,0.01217
-3.25,-0.15,0.0117
-3.0,-0.1235,0.01144
-2.75,-0.0987,0.01105
-2.5,-0.0736,0.01074
-2.25,-0.0492,0.01038
-2.0,-0.0255,0.00993
-1.75,-0.0101,0.00858
-1.5,0.0073,0.00795
-1.25,0.0287,0.00775
-1.0,0.0517,0.00778
-0.75,0.0767,0.00791
-0.5,0.1035,0.00811
-0.25,0.1332,0.00836
0.0,0.167,0.00864
0.25,0.2083,0.00892
0.5,0.2545,0.00921
0.75,0.3065,0.00951
1.0,0.3541,0.00967
1.25,0.3929,0.00977
1.5,0.4334,0.00984
1.75,0.4641,0.00991
2.25,0.5126,0.01005
2.5,0.5368,0.01016
2.75,0.5607,0.01024
3.0,0.5845,0.01037
3.25,0.6083,0.01047
3.5,0.6319,0.01062
3.75,0.6556,0.01074
4.0,0.6791,0.01092
4.25,0.7028,0.01103
4.5,0.7261,0.01126
4.75,0.7499,0.01136
5.0,0.7731,0.01158
5.25,0.7969,0.01171
5.5,0.8202,0.01191
5.75,0.8439,0.01209
6.0,0.8674,0.01228
6.25,0.8909,0.01248
6.5,0.9143,0.01267
6.75,0.9378,0.01288
7.0,0.961,0.0131
7.25,0.9846,0.01329
7.5,1.0074,0.01357
7.75,1.0314,0.01374
8.0,1.0546,0.014
8.25,1.0773,0.01431
8.5,1.101,0.01454
8.75,1.1239,0.01485
9.0,1.1463,0.01521
9.25,1.168,0.01561
9.5,1.1896,0.01602
9.75,1.2106,0.01649
10.0,1.2308,0.01703
10.25,1.2501,0.01762
10.5,1.2677,0.01834
10.75,1.2829,0.01921
11.0,1.2962,0.02018
11.25,1.3082,0.02119
11.5,1.3162,0.02232
11.75,1.3239,0.02336
12.0,1.3295,0.02458
12.25,1.3327,0.02605
12.5,1.3367,0.02758
12.75,1.3404,0.02926
13.25,1.3405,0.03374
13.5,1.3418,0.03617
13.75,1.3387,0.03923
14.0,1.3293,0.04313
14.25,1.3305,0.04605
14.5,1.3288,0.04937
14.75,1.3253,0.05294
15.0,1.3198,0.05679
15.25,1.3113,0.06084
15.5,1.3053,0.06461
15.75,1.3018,0.06832
16.0,1.2979,0.07211
16.25,1.2942,0.07591
16.5,1.2907,0.0797
16.75,1.2874,0.08343
17.0,1.2856,0.08667
17.25,1.2829,0.09025
17.5,1.2783,0.09455
17.75,1.2739,0.09879
18.0,1.2698,0.10302
