alpha,cl,cd
-8.0,-0.8656,0.01735
-7.75,-0.846,0.01678
-7.5,-0.8277,0.01613
-7.25,-0.8074,0.01566
-7.0,-0.7887,0.01506
-6.75,-0.7693,0.01453
-6.5,-0.7489,0.01411
-6.25,-0.7291,0.01365
-6.0,-0.7093,0.01317
-5.75,-0.6894,0.01269
-5.5,-0.669,0.01229
-5.25,-0.6484,0.01188
-5.0,-0.6273,0.01152
-4.75,-0.606,0.01119
-4.5,-0.5843,0.01089
-4.25,-0.562,0.01062
-4.0,-0.5392,0.01039
-3.75,-0.5059,0.01014
-3.5,-0.4653,0.00989
-3.25,-0.427,0.00962
-3.0,-0.3861,0.0094
-2.75,-0.3489,0.00917
-2.5,-0.3089,0.00893
-2.25,-0.2704,0.0087
-2.0,-0.2329,0.00848
-1.75,-0.1967,0.00826
-1.5,-0.1642,0.00806
-1.25,-0.1345,0.00788
-1.0,-0.1053,0.00772
-0.75,-0.0777,0.00759
-0.25,-0.0256,0.00743
0.0,0.0,0.00741
0.25,0.0256,0.00743
0.75,0.0777,0.00759
1.0,0.1053,0.00772
1.25,0.1345,0.00788
1.5,0.1642,0.00806
1.75,0.1967,0.00826
2.0,0.2329,0.00848
2.25,0.2704,0.0087
2.5,0.3088,0.00893
3.0,0.3861,0.0094
3.25,0.427,0.00962
3.5,0.4653,0.00989
3.75,0.5059,0.01014
4.0,0.5392,0.01039
4.25,0.5619,0.01062
4.5,0.5842,0.01089
4.75,0.6059,0.01118
5.0,0.6273,0.01151
5.25,0.6483,0.01188
5.5,0.6689,0.01229
5.75,0.6894,0.01269
6.0,0.7092,0.01316
6.25,0.729,0.01364
6.5,0.7489,0.01411
6.75,0.7692,0.01453
7.0,0.7886,0.01506
7.25,0.8073,0.01566
7.5,0.8276,0.01613
7.75,0.846,0.01678
8.0,0.8656,0.01735
8.25,0.8856,0.01788
8.5,0.9026,0.0188
8.75,0.9235,0.01932
9.0,0.9433,0.01996
9.25,0.9597,0.02116
9.5,0.9803,0.02176
9.75,1.0,0.02245
10.0,1.0186,0.02325
10.25,1.0352,0.02466
10.5,1.0537,0.02552
10.75,1.0713,0.02647
11.0,1.0884,0.02737
11.25,1.1048,0.02844
11.5,1.1186,0.03019
11.75,1.131,0.03136
12.0,1.1416,0.03271
12.25,1.1498,0.03408
12.5,1.1565,0.03548
12.75,1.1632,0.03694
13.0,1.1702,0.0385
13.25,1.1756,0.04085
13.5,1.1699,0.0436
13.75,1.1619,0.0463
14.0,1.152,0.04957
14.25,1.1399,0.0535
14.5,1.1253,0.05814
14.75,1.1075,0.06364
15.0,1.0855,0.07028
15.25,1.0584,0.07832
15.5,1.0249,0.08815
15.75,0.9839,0.10033
16.0,0.9332,0.11567
16.25,0.5333,0.15992
16.5,0.5048,0.16546
16.75,0.5054,0.16825
17.0,0.5094,0.17054
17.25,0.5157,0.17255
17.5,0.5257,0.17444
17.75,0.5411,0.17726
18.0,0.5208,0.18133
