alpha,cl,cd
-8.0,-0.7506,0.00862
-7.75,-0.7248,0.00844
-7.5,-0.6985,0.00828
-7.25,-0.6719,0.00813
-7.0,-0.6451,0.008
-6.75,-0.6181,0.00789
-6.5,-0.5916,0.00772
-6.25,-0.565,0.00761
-6.0,-0.5382,0.00756
-5.75,-0.511,0.00751
-5.5,-0.4833,0.00745
-5.25,-0.4553,0.00739
-5.0,-0.4278,0.00729
-4.75,-0.4,0.00722
-4.5,-0.372,0.00717
-4.25,-0.3439,0.00714
-4.0,-0.3159,0.00708
-3.75,-0.288,0.00705
-3.5,-0.2598,0.00702
-3.25,-0.2316,0.007
-3.0,-0.2034,0.00696
-2.75,-0.1751,0.00696
-2.5,-0.1471,0.00696
-2.25,-0.1187,0.00695
-2.0,-0.0905,0.00694
-1.75,-0.0622,0.00696
-1.5,-0.034,0.00695
-1.25,-0.0058,0.00698
-1.0,0.0225,0.007
-0.75,0.0507,0.00699
-0.5,0.0789,0.00698
-0.25,0.1069,0.00694
0.0,0.1312,0.00629
0.25,0.1578,0.00606
0.5,0.1854,0.00592
0.75,0.2129,0.00579
1.0,0.2406,0.00572
1.25,0.2687,0.00566
1.5,0.2965,0.0056
1.75,0.3246,0.00556
2.0,0.3525,0.00549
2.25,0.38,0.00544
2.5,0.4082,0.00545
2.75,0.4367,0.00546
3.0,0.465,0.00549
3.25,0.4931,0.00554
3.5,0.5213,0.00559
3.75,0.5496,0.00562
4.0,0.5777,0.00567
4.25,0.6055,0.00574
4.5,0.6331,0.00582
4.75,0.6611,0.00587
5.0,0.6886,0.00594
5.25,0.7159,0.00603
5.5,0.7429,0.00615
5.75,0.7704,0.00622
6.0,0.7979,0.00631
6.25,0.8259,0.00642
6.5,0.8558,0.00657
6.75,0.8851,0.00667
7.0,0.9144,0.00678
7.25,0.9465,0.00696
7.5,0.9786,0.00711
7.75,1.0106,0.00725
8.0,1.0419,0.00747
8.25,1.0735,0.00761
8.5,1.1044,0.00783
8.75,1.1353,0.00803
9.0,1.1658,0.00826
9.25,1.1897,0.00847
9.5,1.2119,0.00872
9.75,1.2346,0.00895
10.0,1.257,0.00926
10.25,1.2799,0.00955
10.5,1.303,0.00988
10.75,1.3259,0.01027
11.0,1.3488,0.01068
11.25,1.3721,0.01107
11.5,1.3955,0.01145
11.75,1.4185,0.01186
12.0,1.441,0.01232
12.25,1.4638,0.01273
12.5,1.4865,0.01313
12.75,1.5085,0.01359
13.0,1.5311,0.01397
13.25,1.5524,0.01444
13.5,1.5742,0.01485
13.75,1.595,0.01531
14.0,1.6149,0.01582
14.25,1.6352,0.01626
14.5,1.654,0.01678
14.75,1.6714,0.01735
15.0,1.6889,0.01783
15.25,1.7029,0.01836
15.5,1.715,0.01899
15.75,1.7259,0.01973
16.0,1.7371,0.02049
16.25,1.749,0.02125
16.5,1.7595,0.02213
16.75,1.7684,0.02317
17.0,1.7756,0.02441
17.25,1.7809,0.02587
17.5,1.7849,0.02756
17.75,1.791,0.02918
18.0,1.7954,0.03106
