alpha,cl,cd
-8.0,-0.7318,0.02086
-7.75,-0.7152,0.01995
-7.5,-0.6977,0.01932
-7.0,-0.6335,0.0172
-6.75,-0.5962,0.01663
-6.5,-0.5607,0.01611
-6.25,-0.5261,0.01499
-6.0,-0.4881,0.01447
-5.75,-0.4525,0.014
-5.5,-0.4172,0.01325
-5.25,-0.3803,0.01281
-5.0,-0.3494,0.01243
-4.75,-0.3186,0.01182
-4.5,-0.2892,0.01152
-4.25,-0.2623,0.01116
-4.0,-0.2364,0.01079
-3.75,-0.21,0.01062
-3.5,-0.1852,0.01025
-3.25,-0.1594,0.01006
-3.0,-0.134,0.00985
-2.75,-0.1084,0.00966
-2.5,-0.0826,0.00951
-2.25,-0.0569,0.00936
-1.75,-0.0063,0.00894
-1.5,0.0142,0.00806
-1.25,0.0337,0.00734
-1.0,0.0559,0.00706
-0.75,0.0793,0.00695
-0.5,0.1034,0.00695
-0.25,0.1284,0.00703
0.0,0.1539,0.00714
0.25,0.1811,0.0073
0.5,0.2103,0.00748
0.75,0.2421,0.00768
1.0,0.2772,0.0079
1.25,0.3276,0.00815
1.5,0.3672,0.00831
1.75,0.4062,0.00844
2.0,0.4441,0.00855
2.25,0.4805,0.00865
2.75,0.5562,0.00885
3.0,0.5903,0.00898
3.25,0.6148,0.00902
3.5,0.6385,0.00914
3.75,0.6626,0.0092
4.0,0.6863,0.00932
4.25,0.7102,0.00942
4.5,0.7339,0.00953
4.75,0.7574,0.00968
5.0,0.7813,0.00978
5.25,0.8044,0.00997
5.5,0.8285,0.01007
5.75,0.8516,0.01027
6.0,0.8758,0.01039
6.25,0.8989,0.01059
6.5,0.9231,0.01073
6.75,0.9461,0.01097
7.0,0.9704,0.0111
7.25,0.9937,0.01133
7.5,1.0174,0.01154
7.75,1.0412,0.01176
8.0,1.0644,0.01204
8.25,1.0882,0.01229
8.5,1.1119,0.01257
8.75,1.135,0.0129
9.0,1.1578,0.01327
9.25,1.1803,0.01368
9.5,1.2023,0.01412
9.75,1.2236,0.01462
10.0,1.2441,0.01519
10.25,1.2633,0.01585
10.5,1.2812,0.0166
10.75,1.2988,0.01734
11.0,1.3153,0.01814
11.25,1.3305,0.01898
11.5,1.3437,0.01992
11.75,1.3579,0.0207
12.0,1.3666,0.02164
12.25,1.3762,0.02256
12.5,1.3807,0.02385
12.75,1.3909,0.02487
13.0,1.3961,0.02629
13.25,1.3962,0.02824
13.5,1.4033,0.02979
13.75,1.4072,0.03176
14.0,1.4069,0.03432
14.25,1.3997,0.03786
14.5,1.398,0.04104
14.75,1.3975,0.0442
15.0,1.3943,0.0478
15.25,1.3891,0.05172
15.5,1.3813,0.05603
15.75,1.3702,0.06077
16.0,1.3561,0.06589
16.25,1.3402,0.07124
16.5,1.3342,0.07548
16.75,1.3272,0.07991
17.0,1.3197,0.08444
17.25,1.3123,0.08901
17.5,1.3053,0.09357
17.75,1.299,0.09806
18.0,1.2926,0.10258
