alpha,cl,cd
-6.0,-0.5122,0.01169
-5.5,-0.4487,0.01104
-4.5,-0.3413,0.00978
-4.0,-0.291,0.00924
-3.5,-0.2387,0.00891
-3.0,-0.1855,0.00873
-2.5,-0.132,0.00853
-1.5,-0.0242,0.00829
-1.0,0.0226,0.00707
-0.5,0.071,0.00636
-0.0,0.122,0.00616
0.5,0.1737,0.00618
1.0,0.2255,0.00632
1.5,0.276,0.00657
2.0,0.3296,0.00689
2.5,0.3859,0.0072
3.0,0.4487,0.00753
3.5,0.515,0.00786
4.0,0.5874,0.00816
4.5,0.6564,0.00844
5.0,0.7267,0.00878
5.5,0.7973,0.00902
6.0,0.8502,0.00934
6.5,0.8966,0.00958
7.0,0.942,0.00996
7.5,0.9892,0.01022
8.0,1.0353,0.01065
8.5,1.0835,0.01095
9.0,1.131,0.01139
9.5,1.1788,0.01189
10.0,1.2278,0.01235
10.5,1.2757,0.01293
11.0,1.3224,0.01361
11.5,1.3674,0.01443
12.0,1.409,0.0155
12.5,1.4483,0.01667
13.0,1.4821,0.01815
13.5,1.512,0.0197
14.0,1.5325,0.02141
14.5,1.5501,0.02342
15.0,1.5637,0.02594
15.5,1.5697,0.02945
16.0,1.5757,0.03355
