alpha,cl,cd
-6.0,-0.202,0.01736
-5.5,-0.1421,0.01586
-5.0,-0.079,0.01456
-4.5,-0.0192,0.01351
-4.0,0.0362,0.01267
-3.5,0.0917,0.01199
-3.0,0.1468,0.01133
-2.5,0.2017,0.0108
-2.0,0.2556,0.01036
-1.5,0.3102,0.00996
-1.0,0.3631,0.00943
-0.5,0.4073,0.0084
-0.0,0.4888,0.00814
0.5,0.5395,0.00835
1.0,0.5906,0.0086
1.5,0.6423,0.00888
2.0,0.6944,0.0092
2.5,0.7469,0.00955
3.0,0.7994,0.00989
3.5,0.852,0.01025
4.0,0.9046,0.01064
4.5,0.9568,0.01103
5.0,1.0086,0.01144
5.5,1.0594,0.01186
6.0,1.1086,0.0123
6.5,1.1563,0.01268
7.0,1.2028,0.01317
7.5,1.2476,0.01367
8.0,1.2895,0.01429
8.5,1.3258,0.01521
9.5,1.3688,0.01851
10.0,1.378,0.02105
10.5,1.3868,0.02383
11.0,1.3957,0.02681
11.5,1.404,0.03011
12.0,1.4083,0.03403
12.5,1.4132,0.03824
13.0,1.416,0.04291
13.5,1.4173,0.04798
14.0,1.4174,0.05338
14.5,1.4213,0.05862
15.0,1.4205,0.06418
15.5,1.4252,0.06974
16.0,1.4288,0.07542
