alpha,cl,cd
-6.0,-0.6559,0.0075
-5.5,-0.6032,0.00715
-5.0,-0.5504,0.0068
-4.5,-0.4967,0.00648
-4.0,-0.4428,0.00619
-3.5,-0.3883,0.00594
-3.0,-0.3337,0.00571
-2.5,-0.2787,0.00551
-2.0,-0.2234,0.00535
-1.5,-0.1678,0.00524
-1.0,-0.112,0.00516
-0.5,-0.056,0.00511
-0.0,-0.0,0.00509
0.5,0.056,0.00511
1.0,0.112,0.00516
1.5,0.1678,0.00524
2.0,0.2234,0.00535
2.5,0.2787,0.00551
3.0,0.3337,0.00571
3.5,0.3883,0.00594
4.0,0.4428,0.00619
4.5,0.4968,0.00648
5.0,0.5503,0.0068
5.5,0.6032,0.00714
6.0,0.6559,0.0075
6.5,0.7095,0.0079
7.0,0.7699,0.00831
7.5,0.8305,0.00876
8.0,0.8956,0.00924
8.5,0.9594,0.00976
9.0,1.0225,0.01024
9.5,1.0741,0.01078
10.0,1.1177,0.01126
10.5,1.1615,0.01188
11.0,1.2082,0.0124
11.5,1.255,0.01306
12.0,1.3009,0.01385
12.5,1.3478,0.01452
13.0,1.3931,0.01529
13.5,1.4354,0.01627
14.0,1.4762,0.01727
14.5,1.5163,0.0182
15.0,1.5524,0.01925
15.5,1.5794,0.02046
16.0,1.6022,0.022
