alpha,cl,cd
-6.0,-0.4319,0.00725
-5.5,-0.376,0.00699
-5.0,-0.3202,0.00677
-4.5,-0.264,0.00657
-4.0,-0.2081,0.00638
-3.5,-0.1518,0.00622
-3.0,-0.0956,0.00607
-2.5,-0.0393,0.00593
-2.0,0.017,0.00583
-1.5,0.0734,0.00572
-1.0,0.1297,0.00563
-0.5,0.1861,0.00556
-0.0,0.2423,0.00547
0.5,0.298,0.00532
1.0,0.354,0.00519
1.5,0.4098,0.00514
2.0,0.4655,0.00508
2.5,0.5203,0.00508
3.0,0.5735,0.00515
3.5,0.6245,0.00536
4.0,0.6779,0.00571
4.5,0.7383,0.00617
5.0,0.8065,0.00678
5.5,0.8645,0.00737
6.0,0.9111,0.00789
6.5,0.9591,0.00842
7.0,1.0088,0.00895
7.5,1.059,0.00948
8.0,1.1094,0.01001
8.5,1.1597,0.01053
9.0,1.2095,0.01108
9.5,1.2585,0.01168
10.0,1.3071,0.01225
10.5,1.3546,0.01287
11.0,1.4004,0.01358
11.5,1.4455,0.01426
12.0,1.4881,0.01504
12.5,1.5282,0.01589
13.0,1.5643,0.01671
13.5,1.5951,0.01772
14.0,1.6217,0.01903
14.5,1.6511,0.02024
15.0,1.6775,0.02172
15.5,1.7001,0.02357
16.0,1.7174,0.02596
