alpha,cl,cd
-6.0,-0.4243,0.00801
-5.5,-0.3695,0.00768
-5.0,-0.3144,0.0074
-4.5,-0.259,0.00713
-4.0,-0.2036,0.00687
-3.5,-0.1481,0.00664
-3.0,-0.0926,0.00645
-2.5,-0.0369,0.00627
-2.0,0.0187,0.00611
-1.5,0.0744,0.00598
-1.0,0.13,0.00585
-0.5,0.1853,0.0057
-0.0,0.2402,0.00549
0.5,0.2952,0.00536
1.0,0.3502,0.00527
1.5,0.4044,0.0052
2.0,0.4577,0.00519
2.5,0.5093,0.00526
3.0,0.5644,0.00548
3.5,0.6288,0.00576
4.0,0.6972,0.00617
4.5,0.7691,0.00667
5.0,0.8146,0.00717
5.5,0.8603,0.00775
6.0,0.9063,0.00839
6.5,0.9536,0.00907
7.0,1.0022,0.00971
7.5,1.051,0.01035
8.0,1.1,0.01098
8.5,1.1485,0.01163
9.0,1.1967,0.01228
9.5,1.2439,0.01297
10.0,1.2908,0.01363
10.5,1.336,0.01437
11.0,1.3781,0.01528
11.5,1.421,0.01603
12.0,1.4583,0.01702
12.5,1.4908,0.01799
13.0,1.522,0.01907
13.5,1.5472,0.02057
14.0,1.5725,0.02215
14.5,1.5973,0.02387
15.0,1.6181,0.02601
15.5,1.6332,0.02878
16.0,1.6378,0.03277
