alpha,cl,cd
-6.0,-0.1837,0.01549
-5.5,-0.1254,0.01455
-5.0,-0.0723,0.0138
-4.5,-0.0183,0.01316
-4.0,0.0361,0.01257
-3.5,0.0907,0.01205
-3.0,0.1455,0.01162
-2.5,0.1991,0.01128
-2.0,0.2529,0.01099
-1.5,0.3066,0.01071
-1.0,0.3591,0.01036
-0.5,0.4074,0.00979
-0.0,0.4525,0.00941
0.5,0.51,0.00946
1.0,0.6024,0.00976
1.5,0.6688,0.01
2.0,0.7148,0.01028
2.5,0.7621,0.0106
3.0,0.81,0.01091
3.5,0.859,0.01124
4.0,0.909,0.01161
4.5,0.9595,0.01201
5.0,1.0103,0.01244
5.5,1.059,0.0128
6.0,1.1078,0.01322
6.5,1.1557,0.01366
7.0,1.2019,0.01411
7.5,1.2459,0.01456
8.0,1.2873,0.01504
8.5,1.3259,0.01556
9.0,1.3585,0.01619
9.5,1.3882,0.01702
10.0,1.416,0.01805
10.5,1.4404,0.01938
11.0,1.4598,0.02113
11.5,1.4748,0.02333
12.0,1.485,0.02609
12.5,1.4901,0.02951
13.0,1.4902,0.03366
13.5,1.4895,0.03826
14.0,1.4832,0.04378
14.5,1.4757,0.04985
15.0,1.469,0.05618
15.5,1.4634,0.06264
16.0,1.4566,0.06946
