alpha,cl,cd
-6.0,-0.2015,0.00715
-5.5,-0.1446,0.00697
-5.0,-0.088,0.00676
-4.5,-0.0313,0.0066
-4.0,0.0256,0.00647
-3.5,0.0824,0.00637
-3.0,0.1391,0.00628
-2.5,0.1959,0.0062
-2.0,0.2525,0.00617
-1.5,0.3094,0.00612
-1.0,0.3659,0.00611
-0.5,0.4228,0.00608
-0.0,0.4795,0.00605
0.5,0.5361,0.00603
1.0,0.5928,0.00598
1.5,0.6487,0.00572
2.0,0.7042,0.00549
2.5,0.7568,0.0052
3.0,0.8176,0.00519
3.5,0.873,0.00538
4.0,0.9279,0.00561
4.5,0.9817,0.00593
5.0,1.0345,0.00633
5.5,1.0864,0.00679
6.0,1.1363,0.00739
6.5,1.1841,0.00814
7.0,1.2299,0.00902
7.5,1.2751,0.00989
8.0,1.3197,0.01075
8.5,1.3647,0.01151
9.0,1.4093,0.01223
9.5,1.4525,0.01297
10.0,1.494,0.0137
10.5,1.5308,0.01446
11.0,1.566,0.01525
11.5,1.5994,0.01617
12.0,1.63,0.01726
12.5,1.6612,0.01837
13.0,1.6881,0.01979
13.5,1.7144,0.02134
14.0,1.7389,0.02309
14.5,1.7581,0.02532
15.0,1.777,0.02774
15.5,1.7944,0.03042
16.0,1.8075,0.03364
