alpha,cl,cd
-6.0,-0.515,0.01579
-5.5,-0.4409,0.01476
-5.0,-0.3634,0.01371
-4.5,-0.2929,0.01283
-4.0,-0.2127,0.01194
-3.5,-0.1476,0.01117
-3.0,-0.0854,0.01045
-2.5,-0.0279,0.00969
-2.0,0.0252,0.00891
-1.5,0.0743,0.0083
-1.0,0.1236,0.00788
-0.5,0.1733,0.00774
-0.0,0.2337,0.00784
0.5,0.3123,0.00803
1.0,0.4015,0.00822
1.5,0.4674,0.00837
2.0,0.5148,0.00855
2.5,0.5622,0.0088
3.0,0.6096,0.0091
3.5,0.657,0.00943
4.0,0.7043,0.00978
4.5,0.7515,0.01016
5.0,0.7988,0.01058
5.5,0.8464,0.01102
6.0,0.8929,0.01157
6.5,0.9377,0.0123
7.0,0.9801,0.01329
8.0,1.0568,0.01606
8.5,1.093,0.01759
9.0,1.1253,0.01929
9.5,1.1566,0.02092
10.0,1.1814,0.02266
10.5,1.2071,0.02438
11.0,1.2253,0.02678
11.5,1.2472,0.02901
12.0,1.2629,0.03205
12.5,1.2818,0.0348
13.0,1.2976,0.03814
13.5,1.3108,0.04196
14.0,1.3212,0.04597
14.5,1.3311,0.05015
15.0,1.3372,0.05534
15.5,1.3297,0.06189
16.0,1.3171,0.06953
