alpha,cl,cd
-6.0,-0.1925,0.0094
-5.5,-0.1371,0.00909
-5.0,-0.0816,0.00881
-4.5,-0.0261,0.00858
-4.0,0.0297,0.00839
-3.5,0.0852,0.0082
-3.0,0.1405,0.00806
-2.5,0.1957,0.00795
-2.0,0.2512,0.00786
-1.5,0.3063,0.00781
-1.0,0.361,0.00777
-0.5,0.4162,0.00771
-0.0,0.471,0.00764
0.5,0.5243,0.00736
1.0,0.5771,0.00712
1.5,0.6282,0.00695
2.0,0.6752,0.00691
2.5,0.7474,0.0071
3.0,0.8219,0.00733
3.5,0.8694,0.00756
4.0,0.9192,0.00777
4.5,0.9704,0.00799
5.0,1.0212,0.00828
5.5,1.0722,0.00856
6.0,1.1236,0.00884
6.5,1.1734,0.00919
7.0,1.2218,0.00961
7.5,1.2692,0.01007
8.0,1.3128,0.01067
8.5,1.3533,0.0113
9.0,1.3896,0.01211
9.5,1.4233,0.01309
10.0,1.4538,0.01426
10.5,1.4809,0.01563
11.0,1.5053,0.01721
11.5,1.5271,0.01902
12.5,1.5661,0.02327
13.0,1.5827,0.02582
13.5,1.5971,0.02871
14.0,1.6097,0.03192
14.5,1.6211,0.03548
15.0,1.6291,0.03957
15.5,1.6316,0.04446
16.0,1.6374,0.04922
