alpha,cl,cd
-6.0,-0.5135,0.00924
-5.5,-0.462,0.00891
-5.0,-0.4116,0.00849
-4.5,-0.3579,0.00832
-4.0,-0.3043,0.00806
-3.5,-0.2497,0.00793
-3.0,-0.1948,0.00784
-2.5,-0.1397,0.00776
-2.0,-0.0843,0.00771
-1.5,-0.029,0.00769
-1.0,0.0263,0.00764
-0.5,0.0743,0.00649
-0.0,0.1263,0.00611
0.5,0.1796,0.00598
1.0,0.2332,0.00596
1.5,0.2868,0.00599
2.0,0.3399,0.00608
2.5,0.3947,0.00626
3.0,0.4491,0.00643
3.5,0.504,0.00662
4.0,0.5612,0.00687
4.5,0.6222,0.00707
5.0,0.6888,0.00737
5.5,0.7546,0.00759
6.0,0.822,0.00791
6.5,0.8897,0.00814
7.0,0.956,0.00848
7.5,1.0071,0.00874
8.0,1.0531,0.00906
8.5,1.0995,0.00942
9.0,1.1469,0.00978
9.5,1.1941,0.01023
10.0,1.2417,0.01076
10.5,1.2895,0.01135
11.0,1.3365,0.01205
11.5,1.3814,0.01292
12.0,1.4242,0.01396
13.0,1.5037,0.01629
13.5,1.5397,0.01757
14.0,1.5725,0.01887
14.5,1.5973,0.02024
15.0,1.6172,0.022
15.5,1.6366,0.02397
16.0,1.6485,0.02676
