alpha,cl,cd
-6.0,-0.2026,0.00743
-5.5,-0.1458,0.00727
-5.0,-0.0888,0.00711
-4.5,-0.0319,0.00698
-4.0,0.0248,0.00687
-3.5,0.0818,0.00678
-3.0,0.1389,0.00671
-2.5,0.1957,0.00665
-2.0,0.2525,0.00661
-1.5,0.3095,0.00659
-1.0,0.3664,0.00655
-0.5,0.4234,0.00653
-0.0,0.4805,0.0065
0.5,0.5377,0.00647
1.0,0.5945,0.00645
1.5,0.6508,0.00636
2.0,0.7068,0.00613
2.5,0.7621,0.00605
3.0,0.8178,0.00592
3.5,0.87,0.00583
4.0,0.9213,0.00591
4.5,0.9905,0.00616
5.0,1.046,0.00644
5.5,1.097,0.00674
6.0,1.1475,0.00712
6.5,1.1972,0.00755
7.0,1.2453,0.00808
7.5,1.2925,0.00864
8.0,1.3369,0.00931
8.5,1.3786,0.01008
9.0,1.4168,0.01088
9.5,1.4505,0.01174
10.0,1.4841,0.01266
10.5,1.5169,0.01364
11.0,1.5483,0.01472
11.5,1.5787,0.0159
12.0,1.6087,0.01715
12.5,1.6369,0.01856
13.0,1.6632,0.02016
14.0,1.7113,0.02395
14.5,1.732,0.02623
15.0,1.7484,0.02898
15.5,1.7659,0.03181
16.0,1.7772,0.03536
